gamma,omega,seed,trajectory_length,burn_in,dt,analytic_covariance_diff,empirical_covariance_diff,cov_a_target_diff,cov_b_target_diff,normalized_generator_difference,normalized_current_difference,c_only_predictor_difference,lagged_antisymmetric_a,lagged_antisymmetric_b,lagged_antisymmetric_delta,orientation_a,orientation_b
0.25,0.0,30,5000,1000,0.01,0.0,0.656066952426755,0.6032772769060506,0.2671738816883127,0.0,0.0,0.9939971117061904,0.0005577832409784509,0.001884041905096322,0.0013262586641178712,-0.0006411583414673725,0.0015156311615086334
0.25,0.0,31,5000,1000,0.01,0.0,0.33221832142951474,0.32203698592014207,0.34845884003956357,0.0,0.0,0.2536514724740687,0.0018555494600217507,0.000870562065662923,-0.0009849873943588278,0.0018233564201129231,-0.0006457871365175918
0.25,0.0,32,5000,1000,0.01,0.0,1.0991438112113878,0.48437687523159395,0.6396329402548679,0.0,0.0,0.5664237794807476,0.00020847597781373746,0.0028535501549247465,0.002645074177111009,0.000186720881161084,-0.0010573974527291116
0.25,0.0,33,5000,1000,0.01,0.0,0.672797353765185,0.43521078592891405,0.3985017767867364,0.0,0.0,0.785439937124079,0.002443212702645267,0.002132834125673489,-0.0003103785769717777,-0.001745706142915028,0.0018707593103444505
0.25,0.0,34,5000,1000,0.01,0.0,0.5406080915685606,0.4541596667716621,0.12132435640924882,0.0,0.0,0.5453235761163409,0.0003593805149940585,0.0034762664592183916,0.003116885944224333,-0.0004366969818303254,0.003026575449958592
0.25,0.0,35,5000,1000,0.01,0.0,0.8497185670728387,0.2500940322516757,0.48475106266899015,0.0,0.0,0.5106052666919313,0.0006881052661241343,0.0018440314650270458,0.0011559261989029115,-0.0007469396459061815,0.0006972952606567346
0.25,0.0,36,5000,1000,0.01,0.0,0.3843479307459649,0.30133923898160625,0.39463620773421776,0.0,0.0,0.25145893050265816,0.0011521196248989228,0.0036775230650395196,0.0025254034401405966,-0.0008600708154425097,0.0022005375314051914
0.25,0.0,37,5000,1000,0.01,0.0,0.47815706538329095,0.5468160647526079,0.22496580526644078,0.0,0.0,1.3465244554785512,0.0010082753341339114,0.0004313375354640517,-0.0005769377986698597,0.000588681525767138,-0.00019452598922277636
0.25,0.0,38,5000,1000,0.01,0.0,0.3527187690322735,0.2942925126875561,0.27964422928992605,0.0,0.0,0.47837688668212824,0.0014260887261526535,2.836390453270934e-05,-0.001397724821619944,-0.001217696220552082,9.327180433336308e-05
0.25,0.0,39,5000,1000,0.01,0.0,0.7764588868522163,0.354458519739281,0.5359499367183728,0.0,0.0,0.5617288382648365,0.0020724994399141123,7.054693110102956e-05,-0.002001952508813083,0.0015628850151962477,-0.00013591275009375368
0.25,0.0,40,5000,1000,0.01,0.0,0.28526954567915674,0.2786079478456893,0.27889576321927195,0.0,0.0,0.2833523417297054,0.0016918507131639413,0.0005653658593563468,-0.0011264848538075946,-0.001352006061280672,0.0003136964952878375
0.25,0.0,41,5000,1000,0.01,0.0,1.0771761722300723,0.2462127122118353,0.4628876389388284,0.0,0.0,0.5855059177689892,0.001095829583435044,0.0012871536139656145,0.00019132403053057057,-0.0013185031351334482,-0.0005498965937694087
0.25,0.0,42,5000,1000,0.01,0.0,0.5082852056339733,0.29295221429172086,0.7722082741534925,0.0,0.0,0.368013799143825,0.0013467168441900126,0.00011712168987872121,-0.0012295951543112914,-0.00089624896631708,6.6671277732148e-05
