dimension,condition,beta,sample_size,seed,scale,generator_error,vector_field_cosine,orbit_shape_error,frequency_error,trajectory_error
2,1.5,0.5,500,66,1.0644465466338273,0.013352719977157687,0.9999532352730856,0.00483553135210883,0.0036372197672437058,0.0021190382098307424
2,1.5,0.5,500,67,1.0457403274261086,0.01793925895767843,0.9999034081451512,0.006949527136746837,0.007238289993639724,0.0028495951620196203
2,1.5,0.5,500,68,1.0317035301805695,0.026624002732627897,0.9997981088494393,0.010047167525245305,0.008109286820160315,0.004226024338599246
2,1.5,0.5,500,69,1.0909295377592947,0.017504485967943437,0.9999137652994476,0.0065663803024351985,0.0028485391175512463,0.0027764697045824815
2,1.5,0.5,500,70,0.9801757773266635,0.05406780759625539,0.9991230294974409,0.02094003942879555,0.014390143604518022,0.00857997417842082
2,1.5,0.5,500,71,0.9745105780349894,0.017654860889301696,0.9999152766135413,0.006508586116000709,0.0010111552690621806,0.0027996147234108505
2,1.5,0.5,500,72,1.0678236850878193,0.10127026028174521,0.9972539279366428,0.0370545008288949,0.013327284092894597,0.016061388348093848
2,1.5,0.5,500,73,1.0564803269191396,0.06022618657764585,0.9988874485704746,0.02358549797571976,0.018436795789292162,0.009559537664934331
2,1.5,0.5,500,74,1.0061039484591825,0.06589433671859678,0.9988531009326251,0.023946806335865944,0.010693415531073842,0.010451820514580589
2,1.5,0.5,500,75,0.9364354822041082,0.04932911115886753,0.9993032164531882,0.018665255781958153,0.01939168985888726,0.007834922626496224
2,1.5,0.5,500,76,0.9381939137765604,0.07542149835129547,0.9984419478485422,0.027911038599967537,0.03347124257330346,0.011984201168277794
2,1.5,0.5,500,77,0.9539528693627949,0.044100703072850723,0.999455338764696,0.016502442778327724,0.003855476580380146,0.006993589800042536
2,1.5,0.5,500,78,0.96872542579525,0.030565475065844824,0.9997190913646801,0.011851342441256534,0.0023900941228132454,0.004847059903712867
2,1.5,0.5,500,79,1.030023637966425,0.026737680111109875,0.9998413286459196,0.008907057709492001,0.005273748799020246,0.004241548834249967
2,1.5,0.5,500,80,0.995386047093428,0.03984600305528899,0.9994654925577268,0.01634789653553709,0.00023458013468443114,0.006318346329448668
2,1.5,0.5,500,81,0.9403020866779086,0.003264501364444911,0.999997122542286,0.0011994702401412483,0.0013215841946525757,0.0005185672672970506
2,1.5,0.5,500,82,0.8951672322965228,0.08973024276288792,0.9974609124482047,0.035630657808937476,0.05011768515516444,0.01427415316941926
2,1.5,0.5,500,83,0.9866021248120909,0.050319320396714926,0.9992819079931234,0.01894850926691171,0.01169877273963578,0.00798381979107935
2,1.5,0.5,500,84,1.009819669452939,0.04191918266492238,0.9994907755485398,0.015956573119882335,0.008367919833289597,0.006649982731694887
2,1.5,0.5,500,85,0.96495274176336,0.045963371947016045,0.9993935894775666,0.017412790161736944,0.020240976048741127,0.007303380133605143
2,1.5,0.5,500,86,0.9305501541875935,0.09743072403425895,0.9968256619655416,0.03983928986853605,0.03391796311708556,0.015469119990564951
2,1.5,0.5,500,87,1.038188629595276,0.04977726125716458,0.9993007336496731,0.018698480557613313,0.01674996831160214,0.007902985281980772
2,1.5,0.5,500,88,1.022236829247971,0.06706266377780352,0.9988017973395823,0.024476546533546317,0.018413589459735306,0.010642917367713466
2,1.5,0.5,500,89,1.0907501267176267,0.06218528620791045,0.9989182625625311,0.023256584416772016,0.016195056279063886,0.00986803275748844
2,1.5,0.5,500,90,0.992025601994024,0.05216549918071065,0.9992061892997295,0.019922483533315806,0.017695136750109274,0.008281973283744625
2,1.5,0.5,500,91,1.028703014509234,0.019378818629615286,0.9998870552977491,0.007514808788347283,0.007377852134413438,0.0030777446481491753
2,1.5,0.5,500,92,1.088984187459501,0.07625011455322515,0.9983509183187153,0.028714819181781124,0.01681970619585883,0.012097397492291264
2,1.5,0.5,500,93,0.9563456725714667,0.07083590612621765,0.9987877684025143,0.024619419139022842,0.006293423275786697,0.01123335206132108
2,1.5,0.5,500,94,1.0345188392728182,0.0713751508768122,0.9984531935585914,0.02781012802387521,0.021662348257254452,0.011329439243638599
2,1.5,0.5,500,95,1.0337083141114758,0.02947261428565452,0.9997356618745751,0.011496480448925196,0.012778108144874446,0.004682845044142449
2,1.5,0.5,500,96,1.0254219984304294,0.041676435179649904,0.9994894080077182,0.015977984733403103,0.012414096245278484,0.006615029996439372
2,1.5,0.5,500,97,0.9769274550292868,0.08007931238633394,0.9981343103243263,0.030542508702410927,0.008080047654541605,0.012699493785186405
2,1.5,0.5,500,98,0.929060099485434,0.07015226535047246,0.9987378292421357,0.025121412757488533,0.0028124505948960896,0.011124174501844176
2,1.5,0.5,500,99,0.9888794389853366,0.032587071217540085,0.9996917250420362,0.01241521159633909,0.010668019217823106,0.005173369405390749
2,1.5,0.5,2000,0,1.0598682086474902,0.04071481840452865,0.9994900235982564,0.01596834997336326,0.014092593861077593,0.0064646139079194715
2,1.5,0.5,2000,1,1.037730866100881,0.018171259004205086,0.9998984028520197,0.007127311834776152,0.001740328014062359,0.0028816869707055546
2,1.5,0.5,2000,2,1.0157501080119469,0.044816990245976226,0.999360824976975,0.017877010698451126,0.0001042245285041973,0.007106589224191624
2,1.5,0.5,2000,3,0.9999876532082559,0.033199678562933085,0.9996581078439969,0.013074634908919205,0.0153616315065833,0.005276469571045684
