seed,gamma,omega,analytic_stationary_covariance_difference,analytic_equal_time_moment_max_difference_order_1_to_6,stationary_lyapunov_residual_A0,stationary_lyapunov_residual_A1,empirical_moment_max_difference_order_1_to_6,generator_difference_norm,probability_current_norm_A0,probability_current_norm_A1,input_has_timestamp,input_has_lag,input_has_sample_order,baseline_equal_time_verdict,stage,empirical_moment_normalized_max_difference,empirical_to_population_normalized_RMSE_A0,empirical_to_population_normalized_RMSE_A1
20,1.0,0.5,0.0,0.0,0.0,0.0,0.8161573641180233,0.7071067811865476,0.0,0.7071067811865476,False,False,False,NON_IDENTIFIABLE,development,0.0544104909412015,0.015039702879795,0.0210619098046566
20,1.0,1.5,0.0,0.0,0.0,0.0,1.4099211221565202,2.1213203435596424,0.0,2.1213203435596424,False,False,False,NON_IDENTIFIABLE,development,0.0939947414771013,0.0126887271921687,0.026298265845269
21,0.5,0.5,0.0,0.0,0.0,0.0,0.901829039693436,0.7071067811865476,0.0,0.7071067811865476,False,False,False,NON_IDENTIFIABLE,development,0.0601219359795623,0.018935721143382,0.0177791651852924
21,0.5,1.5,0.0,0.0,0.0,0.0,1.099464744326493,2.1213203435596424,0.0,2.1213203435596424,False,False,False,NON_IDENTIFIABLE,development,0.0732976496217662,0.0195695776975143,0.0268026350787201
21,1.0,0.5,0.0,0.0,0.0,0.0,2.0254006002337785,0.7071067811865476,0.0,0.7071067811865476,False,False,False,NON_IDENTIFIABLE,development,0.1350267066822519,0.0173930108321742,0.018679702922985
21,1.0,1.5,0.0,0.0,0.0,0.0,1.0669928346475714,2.1213203435596424,0.0,2.1213203435596424,False,False,False,NON_IDENTIFIABLE,development,0.0711328556431714,0.0166327970148179,0.0082302988089562
22,0.5,0.5,0.0,0.0,0.0,0.0,1.1071929601972084,0.7071067811865476,0.0,0.7071067811865476,False,False,False,NON_IDENTIFIABLE,development,0.0738128640131472,0.0167506699982585,0.0275147541067364
22,0.5,1.5,0.0,0.0,0.0,0.0,3.970540257198756,2.1213203435596424,0.0,2.1213203435596424,False,False,False,NON_IDENTIFIABLE,development,0.2647026838132504,0.0167503602060289,0.0416182779619073
22,1.0,0.5,0.0,0.0,0.0,0.0,1.3270047224882564,0.7071067811865476,0.0,0.7071067811865476,False,False,False,NON_IDENTIFIABLE,development,0.0884669814992171,0.0190404893205537,0.0090210373227244
22,1.0,1.5,0.0,0.0,0.0,0.0,0.8463177629915837,2.1213203435596424,0.0,2.1213203435596424,False,False,False,NON_IDENTIFIABLE,development,0.0564211841994389,0.010356348866796,0.0128265824538163
23,0.5,0.5,0.0,0.0,0.0,0.0,2.922511158566383,0.7071067811865476,0.0,0.7071067811865476,False,False,False,NON_IDENTIFIABLE,development,0.1948340772377589,0.047073870463705,0.0331191145439109
23,0.5,1.5,0.0,0.0,0.0,0.0,2.0556028878486963,2.1213203435596424,0.0,2.1213203435596424,False,False,False,NON_IDENTIFIABLE,development,0.1370401925232464,0.0287377242559884,0.0128062369529688
23,1.0,0.5,0.0,0.0,0.0,0.0,2.090790775878162,0.7071067811865476,0.0,0.7071067811865476,False,False,False,NON_IDENTIFIABLE,development,0.1393860517252108,0.031188264747314,0.0101453571465121
23,1.0,1.5,0.0,0.0,0.0,0.0,1.612744550806566,2.1213203435596424,0.0,2.1213203435596424,False,False,False,NON_IDENTIFIABLE,development,0.1075163033871044,0.0185756707285236,0.0309563942515383
24,0.5,0.5,0.0,0.0,0.0,0.0,0.5867536743546378,0.7071067811865476,0.0,0.7071067811865476,False,False,False,NON_IDENTIFIABLE,development,0.0391169116236425,0.0088079657874792,0.0179037655280366
24,0.5,1.5,0.0,0.0,0.0,0.0,6.548117567295391,2.1213203435596424,0.0,2.1213203435596424,False,False,False,NON_IDENTIFIABLE,development,0.436541171153026,0.0646449905865883,0.0225014367422032
24,1.0,0.5,0.0,0.0,0.0,0.0,1.4284865034257272,0.7071067811865476,0.0,0.7071067811865476,False,False,False,NON_IDENTIFIABLE,development,0.0952324335617151,0.0238575604151217,0.0103942906365235
24,1.0,1.5,0.0,0.0,0.0,0.0,0.7556542432624838,2.1213203435596424,0.0,2.1213203435596424,False,False,False,NON_IDENTIFIABLE,development,0.0503769495508322,0.0133003615717215,0.0191222872958934
25,0.5,0.5,0.0,0.0,0.0,0.0,1.8743625296825,0.7071067811865476,0.0,0.7071067811865476,False,False,False,NON_IDENTIFIABLE,development,0.1249575019788333,0.0150900041176098,0.0220326262381205
25,0.5,1.5,0.0,0.0,0.0,0.0,0.9209245666682372,2.1213203435596424,0.0,2.1213203435596424,False,False,False,NON_IDENTIFIABLE,development,0.0613949711112158,0.0211213710080264,0.0118873512779669
25,1.0,0.5,0.0,0.0,0.0,0.0,2.690828627632176,0.7071067811865476,0.0,0.7071067811865476,False,False,False,NON_IDENTIFIABLE,development,0.1793885751754783,0.0196817376534083,0.0375587199306026
25,1.0,1.5,0.0,0.0,0.0,0.0,0.9891429184591694,2.1213203435596424,0.0,2.1213203435596424,False,False,False,NON_IDENTIFIABLE,development,0.0659428612306112,0.0141716535917142,0.0185051626459141
26,0.5,0.5,0.0,0.0,0.0,0.0,1.8288822128311573,0.7071067811865476,0.0,0.7071067811865476,False,False,False,NON_IDENTIFIABLE,development,0.1219254808554104,0.0171568844994861,0.0233435136777245
26,0.5,1.5,0.0,0.0,0.0,0.0,0.7588553211520142,2.1213203435596424,0.0,2.1213203435596424,False,False,False,NON_IDENTIFIABLE,development,0.0505903547434676,0.0078853628935374,0.0162277884772999
26,1.0,0.5,0.0,0.0,0.0,0.0,2.233564648209974,0.7071067811865476,0.0,0.7071067811865476,False,False,False,NON_IDENTIFIABLE,development,0.1489043098806649,0.0144822739634503,0.026098076667273
