seed,world,n_operators,scale_aligned_duration_error,rank_order_accuracy,composition_residual,matrix_log_baseline_error,ordinal_embedding_rank_accuracy,periodic_alias_operator_difference,periodic_alias_ground_truth,generator_branch_ambiguity,multiclock_1D_embedding_residual,scalar_time_rejected,same_budget_baseline_equal_or_better,duration_labels_hidden,timestamps_hidden,operator_storage_order_randomized,input_feature_count,stage
9,periodic_rotation,4,1.0,0.1666666666666666,,1.0,0.1666666666666666,2.448739272652472e-13,True,True,0.0,False,True,True,True,True,16,development
9,nearly_degenerate_generator,4,3.4231585228491428e-15,1.0,8.024283735919775e-17,3.4231585228491428e-15,1.0,,False,False,0.0,False,True,True,True,True,16,development
9,multi_clock_product_system,4,0.2926506420175286,0.8333333333333334,0.7092170178512528,0.2926506420175286,1.0,,False,False,0.2518270466713691,True,True,True,True,True,16,development
10,stable_linear_flow,4,1.014371237176023e-15,1.0,1.4530837632086703e-16,1.014371237176023e-15,1.0,,False,False,0.0,False,True,True,True,True,16,development
10,non_normal_linear_flow,4,1.602257086734519e-15,1.0,3.4025130905714847e-15,1.602257086734519e-15,1.0,,False,False,0.0,False,True,True,True,True,16,development
10,damped_rotation,4,1.0735096122658697e-15,1.0,2.060930133278457e-15,6.651677028601934e-16,1.0,,False,False,0.0,False,True,True,True,True,16,development
10,multi_rate_system,4,2.0705766173641256e-17,1.0,1.1029353289156323e-16,2.0705766173641256e-17,1.0,,False,False,0.0,False,True,True,True,True,36,development
10,periodic_rotation,4,1.0,0.1666666666666666,,1.0,0.1666666666666666,2.448739272652472e-13,True,True,0.0,False,True,True,True,True,16,development
10,nearly_degenerate_generator,4,1.953378074069075e-15,1.0,0.0,1.953378074069075e-15,1.0,,False,False,0.0,False,True,True,True,True,16,development
10,multi_clock_product_system,4,0.2926506420175286,0.8333333333333334,0.7090546254501792,0.2926506420175286,1.0,,False,False,0.251827046671369,True,True,True,True,True,16,development
11,stable_linear_flow,4,2.5527782988599104e-16,1.0,0.0,2.5527782988599104e-16,1.0,,False,False,0.0,False,True,True,True,True,16,development
11,non_normal_linear_flow,4,1.875901277597052e-15,1.0,3.1593541928738558e-15,1.875901277597052e-15,1.0,,False,False,0.0,False,True,True,True,True,16,development
11,damped_rotation,4,1.1535918033722417e-15,1.0,1.995483883536423e-15,1.2172454846112277e-15,1.0,,False,False,0.0,False,True,True,True,True,16,development
11,multi_rate_system,4,5.929229101044717e-16,1.0,1.1030158068562124e-16,5.929229101044717e-16,1.0,,False,False,0.0,False,True,True,True,True,36,development
11,periodic_rotation,4,1.0,0.1666666666666666,,1.0,0.1666666666666666,2.448739272652472e-13,True,True,0.0,False,True,True,True,True,16,development
11,nearly_degenerate_generator,4,7.954895594463572e-16,1.0,8.027494091442446e-17,7.954895594463572e-16,1.0,,False,False,0.0,False,True,True,True,True,16,development
11,multi_clock_product_system,4,0.2926506420175286,0.8333333333333334,0.7088904745762351,0.2926506420175286,1.0,,False,False,0.2518270466713691,True,True,True,True,True,16,development
12,stable_linear_flow,4,1.1150396330304895e-16,1.0,1.4533070127282723e-16,1.1150396330304895e-16,1.0,,False,False,0.0,False,True,True,True,True,16,development
12,non_normal_linear_flow,4,1.6507573876966874e-15,1.0,3.6613749643322526e-15,1.6507573876966874e-15,1.0,,False,False,0.0,False,True,True,True,True,16,development
12,damped_rotation,4,1.0995522193155577e-15,1.0,2.840756822776275e-15,2.0155975942355684e-15,1.0,,False,False,0.0,False,True,True,True,True,16,development
12,multi_rate_system,4,4.833809784181016e-16,1.0,1.1030962863168142e-16,4.833809784181016e-16,1.0,,False,False,0.0,False,True,True,True,True,36,development
12,periodic_rotation,4,1.0,0.1666666666666666,,1.0,0.1666666666666666,2.448739272652472e-13,True,True,0.0,False,True,True,True,True,16,development
12,nearly_degenerate_generator,4,3.1000618902863125e-15,1.0,1.1354861761257947e-16,3.1000618902863125e-15,1.0,,False,False,0.0,False,True,True,True,True,16,development
12,multi_clock_product_system,4,0.2926506420175286,0.8333333333333334,0.7087245662134591,0.2926506420175286,1.0,,False,False,0.2518270466713691,True,True,True,True,True,16,development
13,stable_linear_flow,4,5.319407644397583e-16,1.0,0.0,5.319407644397583e-16,1.0,,False,False,0.0,False,True,True,True,True,16,development
13,non_normal_linear_flow,4,1.6419032851670164e-15,1.0,3.40948594275174e-15,1.6419032851670164e-15,1.0,,False,False,0.0,False,True,True,True,True,16,development
13,damped_rotation,4,1.2864264401639041e-15,1.0,2.363121240218057e-15,2.127763057759033e-15,1.0,,False,False,0.0,False,True,True,True,True,16,development
13,multi_rate_system,4,2.458673507200344e-16,1.0,1.4243911646185586e-16,2.458673507200344e-16,1.0,,False,False,0.0,False,True,True,True,True,36,development
13,periodic_rotation,4,1.0,0.1666666666666666,,1.0,0.1666666666666666,2.448739272652472e-13,True,True,0.0,False,True,True,True,True,16,development
13,nearly_degenerate_generator,4,1.8658181779156705e-15,1.0,1.1228958353190303e-16,1.8658181779156705e-15,1.0,,False,False,0.0,False,True,True,True,True,16,development
13,multi_clock_product_system,4,0.2926506420175286,0.8333333333333334,0.7105992619631339,0.2926506420175286,1.0,,False,False,0.2518270466713691,True,True,True,True,True,16,development
14,stable_linear_flow,4,2.651631864821191e-16,1.0,0.0,2.651631864821191e-16,1.0,,False,False,0.0,False,True,True,True,True,16,development
14,non_normal_linear_flow,4,1.808053301312212e-15,1.0,3.406470563780367e-15,1.808053301312212e-15,1.0,,False,False,0.0,False,True,True,True,True,16,development
14,damped_rotation,4,1.336123694429291e-15,1.0,2.5438896628697968e-15,8.958684196419763e-16,1.0,,False,False,0.0,False,True,True,True,True,16,development
14,multi_rate_system,4,9.14810650101327e-16,1.0,0.0,9.14810650101327e-16,1.0,,False,False,0.0,False,True,True,True,True,36,development
14,periodic_rotation,4,1.0,0.1666666666666666,,1.0,0.1666666666666666,2.448739272652472e-13,True,True,0.0,False,True,True,True,True,16,development
14,nearly_degenerate_generator,4,1.5583066630389656e-15,1.0,7.940866644163598e-17,1.5583066630389656e-15,1.0,,False,False,0.0,False,True,True,True,True,16,development
14,multi_clock_product_system,4,0.2926506420175286,0.8333333333333334,0.7104527380545421,0.2926506420175286,1.0,,False,False,0.2518270466713691,True,True,True,True,True,16,development
15,stable_linear_flow,4,5.693144448766032e-16,1.0,1.4536419124806743e-16,5.693144448766032e-16,1.0,,False,False,0.0,False,True,True,True,True,16,development
15,non_normal_linear_flow,4,1.7812977010456126e-15,1.0,3.152059491313017e-15,1.7812977010456126e-15,1.0,,False,False,0.0,False,True,True,True,True,16,development
15,damped_rotation,4,1.4037226749045482e-15,1.0,2.4432831702930724e-15,1.955571649239822e-15,1.0,,False,False,0.0,False,True,True,True,True,16,development
15,multi_rate_system,4,2.561161829797924e-16,1.0,1.4249032622602966e-16,2.561161829797924e-16,1.0,,False,False,0.0,False,True,True,True,True,36,development
15,periodic_rotation,4,1.0,0.1666666666666666,,1.0,0.1666666666666666,2.448739272652472e-13,True,True,0.0,False,True,True,True,True,16,development
15,nearly_degenerate_generator,4,2.4711965432594477e-15,1.0,8.033918656198857e-17,2.4711965432594477e-15,1.0,,False,False,0.0,False,True,True,True,True,16,development
15,multi_clock_product_system,4,0.2926506420175286,0.8333333333333334,0.7103044473725881,0.2926506420175286,1.0,,False,False,0.2518270466713691,True,True,True,True,True,16,development
16,stable_linear_flow,4,1.1987905486411384e-15,1.0,1.1864061869485683e-16,1.1987905486411384e-15,1.0,,False,False,0.0,False,True,True,True,True,16,development
16,non_normal_linear_flow,4,1.7230631484074319e-15,1.0,3.2766292890219548e-15,1.7230631484074319e-15,1.0,,False,False,0.0,False,True,True,True,True,16,development
16,damped_rotation,4,1.2703287077289776e-15,1.0,1.879289666088829e-15,1.423135491934756e-15,1.0,,False,False,0.0,False,True,True,True,True,16,development
16,multi_rate_system,4,4.166955062142981e-16,1.0,1.4251593645372379e-16,4.166955062142981e-16,1.0,,False,False,0.0,False,True,True,True,True,36,development
16,periodic_rotation,4,1.0,0.1666666666666666,,1.0,0.1666666666666666,2.448739272652472e-13,True,True,0.0,False,True,True,True,True,16,development
16,nearly_degenerate_generator,4,2.2761279070580428e-15,1.0,8.035525600619182e-17,2.2761279070580428e-15,1.0,,False,False,0.0,False,True,True,True,True,16,development
16,multi_clock_product_system,4,0.2926506420175286,0.8333333333333334,0.7101543907909003,0.2926506420175286,1.0,,False,False,0.2518270466713691,True,True,True,True,True,16,development
17,stable_linear_flow,4,3.364288791841475e-16,1.0,1.4519677197213522e-16,3.364288791841475e-16,1.0,,False,False,0.0,False,True,True,True,True,16,development
17,non_normal_linear_flow,4,1.7870647665618012e-15,1.0,3.3971550611924404e-15,1.7870647665618012e-15,1.0,,False,False,0.0,False,True,True,True,True,16,development
17,damped_rotation,4,1.2884245150519393e-15,1.0,2.229846962920086e-15,1.697367732422189e-15,1.0,,False,False,0.0,False,True,True,True,True,16,development
17,multi_rate_system,4,1.171295013683581e-16,1.0,1.1021306333141927e-16,1.171295013683581e-16,1.0,,False,False,0.0,False,True,True,True,True,36,development
17,periodic_rotation,4,1.0,0.1666666666666666,,1.0,0.1666666666666666,2.448739272652472e-13,True,True,0.0,False,True,True,True,True,16,development
17,nearly_degenerate_generator,4,4.314755770981236e-15,1.0,1.132764276888689e-16,4.314755770981236e-15,1.0,,False,False,0.0,False,True,True,True,True,16,development
