seed,metric,P,D,Delta,weakest_target_class,weakest_preserve_transform,strongest_destroy_target_class,strongest_destroy_transform,target_class_count,strongest_baseline_metric,strongest_baseline_delta,baseline_advantage
10177,pca_rank1_explained_variance,0.9918946791727536,0.9842317294662088,0.007662949706544797,persistent_shared_mode,P5_observation_noise,history_dependent_relational_mode,D8_block_shuffle,3,,,
10177,pearson,0.8795752008879051,1.0,-0.12042479911209492,persistent_shared_mode,P4_orthogonal_basis_rotation,history_dependent_relational_mode,D5_source_swap,3,,,
10177,spectral_coherence,0.6180234421635338,1.0,-0.3819765578364662,persistent_shared_mode,P2_global_scaling,direct_coupling_SCM,D6_common_driver_replacement,3,,,
10178,VAR_ARX_predictive,0.9267837238014516,1.0,-0.07321627619854842,direct_coupling_SCM,P6_time_reparameterization,history_dependent_relational_mode,D1_temporal_shuffle,3,,,
10178,autocorrelation_persistence,0.803824596414536,1.0,-0.19617540358546404,direct_coupling_SCM,P7_coarse_graining,persistent_shared_mode,D5_source_swap,3,,,
10178,correlon_v1,0.0,1.0,-1.0,direct_coupling_SCM,P1_node_permutation,direct_coupling_SCM,D1_temporal_shuffle,3,pca_rank1_explained_variance,-0.012758033573091021,-0.987241966426909
10178,largest_covariance_eigenvalue,0.8720659698490456,1.0,-0.1279340301509544,direct_coupling_SCM,P7_coarse_graining,direct_coupling_SCM,D5_source_swap,3,,,
10178,linear_CKA,0.7407554387270545,1.0,-0.2592445612729455,persistent_shared_mode,P2_global_scaling,direct_coupling_SCM,D2_phase_randomization,3,,,
10178,mutual_information,0.9621701817656232,1.0,-0.03782981823437681,direct_coupling_SCM,P5_observation_noise,direct_coupling_SCM,D2_phase_randomization,3,,,
10178,pca_rank1_explained_variance,0.987241966426909,1.0,-0.012758033573091021,direct_coupling_SCM,P5_observation_noise,direct_coupling_SCM,D5_source_swap,3,,,
10178,pearson,0.8129606742052669,1.0,-0.18703932579473315,persistent_shared_mode,P4_orthogonal_basis_rotation,direct_coupling_SCM,D2_phase_randomization,3,,,
10178,spectral_coherence,0.4525166493867587,1.0,-0.5474833506132413,persistent_shared_mode,P2_global_scaling,persistent_shared_mode,D6_common_driver_replacement,3,,,
10179,VAR_ARX_predictive,0.9136179772587706,0.9608879556532254,-0.04726997839445479,direct_coupling_SCM,P2_global_scaling,history_dependent_relational_mode,D2_phase_randomization,3,,,
10179,autocorrelation_persistence,0.8104071752362813,1.0,-0.18959282476371875,history_dependent_relational_mode,P7_coarse_graining,persistent_shared_mode,D5_source_swap,3,,,
10179,correlon_v1,0.0,1.0,-1.0,direct_coupling_SCM,P1_node_permutation,persistent_shared_mode,D6_common_driver_replacement,3,pca_rank1_explained_variance,-0.009168276190053226,-0.9908317238099468
10179,largest_covariance_eigenvalue,0.8641644736684788,1.0,-0.13583552633152118,history_dependent_relational_mode,P7_coarse_graining,history_dependent_relational_mode,D3_IAAFT_surrogate,3,,,
10179,linear_CKA,0.6354337745974273,1.0,-0.36456622540257266,history_dependent_relational_mode,P2_global_scaling,history_dependent_relational_mode,D2_phase_randomization,3,,,
10179,mutual_information,0.9869400244074168,1.0,-0.013059975592583206,persistent_shared_mode,P5_observation_noise,history_dependent_relational_mode,D2_phase_randomization,3,,,
10179,pca_rank1_explained_variance,0.9908317238099468,1.0,-0.009168276190053226,persistent_shared_mode,P5_observation_noise,history_dependent_relational_mode,D3_IAAFT_surrogate,3,,,
10179,pearson,0.9535382868514156,1.0,-0.04646171314858438,persistent_shared_mode,P4_orthogonal_basis_rotation,history_dependent_relational_mode,D2_phase_randomization,3,,,
10179,spectral_coherence,0.8973342703432444,1.0,-0.10266572965675558,persistent_shared_mode,P2_global_scaling,persistent_shared_mode,D6_common_driver_replacement,3,,,
10180,VAR_ARX_predictive,0.9809532215703018,1.0,-0.019046778429698152,persistent_shared_mode,P5_observation_noise,history_dependent_relational_mode,D3_IAAFT_surrogate,3,,,
10180,autocorrelation_persistence,0.7943321284513774,1.0,-0.20566787154862265,history_dependent_relational_mode,P7_coarse_graining,persistent_shared_mode,D7_history_destruction,3,,,
10180,correlon_v1,0.0,1.0,-1.0,persistent_shared_mode,P5_observation_noise,persistent_shared_mode,D6_common_driver_replacement,3,pca_rank1_explained_variance,-0.01396627105013104,-0.986033728949869
10180,largest_covariance_eigenvalue,0.8662701237311834,1.0,-0.1337298762688166,history_dependent_relational_mode,P7_coarse_graining,direct_coupling_SCM,D5_source_swap,3,,,
10180,linear_CKA,0.5277700992470717,0.9638641278082504,-0.4360940285611786,direct_coupling_SCM,P2_global_scaling,history_dependent_relational_mode,D6_common_driver_replacement,3,,,
10180,mutual_information,0.9567774053584333,1.0,-0.04322259464156675,direct_coupling_SCM,P5_observation_noise,history_dependent_relational_mode,D3_IAAFT_surrogate,3,,,
10180,pca_rank1_explained_variance,0.986033728949869,1.0,-0.01396627105013104,persistent_shared_mode,P5_observation_noise,direct_coupling_SCM,D5_source_swap,3,,,
10180,pearson,0.8087769980354254,0.969056370462735,-0.1602793724273096,persistent_shared_mode,P4_orthogonal_basis_rotation,history_dependent_relational_mode,D6_common_driver_replacement,3,,,
10180,spectral_coherence,0.481492370984508,1.0,-0.518507629015492,persistent_shared_mode,P2_global_scaling,direct_coupling_SCM,D3_IAAFT_surrogate,3,,,
10181,VAR_ARX_predictive,0.9559596010866503,1.0,-0.044040398913349654,history_dependent_relational_mode,P5_observation_noise,history_dependent_relational_mode,D8_block_shuffle,3,,,
10181,autocorrelation_persistence,0.8030202653232847,1.0,-0.19697973467671526,history_dependent_relational_mode,P7_coarse_graining,persistent_shared_mode,D7_history_destruction,3,,,
10181,correlon_v1,0.0,1.0,-1.0,direct_coupling_SCM,P1_node_permutation,persistent_shared_mode,D6_common_driver_replacement,3,mutual_information,-0.02451667351664044,-0.9754833264833596
10181,largest_covariance_eigenvalue,0.8420630402535488,1.0,-0.15793695974645117,direct_coupling_SCM,P7_coarse_graining,direct_coupling_SCM,D7_history_destruction,3,,,
10181,linear_CKA,0.5052018504313254,1.0,-0.49479814956867463,persistent_shared_mode,P2_global_scaling,history_dependent_relational_mode,D2_phase_randomization,3,,,
10181,mutual_information,0.9754833264833596,1.0,-0.02451667351664044,history_dependent_relational_mode,P5_observation_noise,history_dependent_relational_mode,D2_phase_randomization,3,,,
10181,pca_rank1_explained_variance,0.8470697204166401,1.0,-0.15293027958335992,persistent_shared_mode,P2_global_scaling,direct_coupling_SCM,D7_history_destruction,3,,,
10181,pearson,0.9667836475771386,1.0,-0.03321635242286136,persistent_shared_mode,P4_orthogonal_basis_rotation,history_dependent_relational_mode,D2_phase_randomization,3,,,
10181,spectral_coherence,0.646090703519913,1.0,-0.35390929648008695,persistent_shared_mode,P2_global_scaling,persistent_shared_mode,D6_common_driver_replacement,3,,,
10182,VAR_ARX_predictive,0.943574017884576,0.9980015559802324,-0.05442753809565648,history_dependent_relational_mode,P5_observation_noise,history_dependent_relational_mode,D7_history_destruction,3,,,
10182,autocorrelation_persistence,0.8094555771532554,1.0,-0.19054442284674455,direct_coupling_SCM,P7_coarse_graining,persistent_shared_mode,D5_source_swap,3,,,
10182,correlon_v1,0.0,1.0,-1.0,direct_coupling_SCM,P6_time_reparameterization,persistent_shared_mode,D6_common_driver_replacement,3,mutual_information,-0.0018788607866759843,-0.998121139213324
10182,largest_covariance_eigenvalue,0.866382167899434,1.0,-0.133617832100566,direct_coupling_SCM,P7_coarse_graining,direct_coupling_SCM,D7_history_destruction,3,,,
10182,linear_CKA,0.6059539144314987,1.0,-0.3940460855685013,direct_coupling_SCM,P2_global_scaling,direct_coupling_SCM,D7_history_destruction,3,,,
10182,mutual_information,0.998121139213324,1.0,-0.0018788607866759843,persistent_shared_mode,P5_observation_noise,direct_coupling_SCM,D7_history_destruction,3,,,
10182,pca_rank1_explained_variance,0.9964279508473968,1.0,-0.0035720491526032294,history_dependent_relational_mode,P5_observation_noise,direct_coupling_SCM,D7_history_destruction,3,,,
10182,pearson,0.9434886606737272,1.0,-0.056511339326272836,persistent_shared_mode,P4_orthogonal_basis_rotation,direct_coupling_SCM,D7_history_destruction,3,,,
10182,spectral_coherence,0.7951364108591168,1.0,-0.2048635891408832,history_dependent_relational_mode,P6_time_reparameterization,persistent_shared_mode,D6_common_driver_replacement,3,,,
10183,VAR_ARX_predictive,0.8216898392076879,1.0,-0.1783101607923121,direct_coupling_SCM,P2_global_scaling,history_dependent_relational_mode,D5_source_swap,3,,,
10183,autocorrelation_persistence,0.7990426501193962,1.0,-0.20095734988060376,history_dependent_relational_mode,P7_coarse_graining,persistent_shared_mode,D5_source_swap,3,,,
10183,correlon_v1,0.0,1.0,-1.0,direct_coupling_SCM,P1_node_permutation,persistent_shared_mode,D6_common_driver_replacement,3,pca_rank1_explained_variance,-0.001882442012643204,-0.9981175579873568
10183,largest_covariance_eigenvalue,0.8779815288717451,1.0,-0.12201847112825492,history_dependent_relational_mode,P7_coarse_graining,direct_coupling_SCM,D5_source_swap,3,,,
10183,linear_CKA,0.4284279880457487,1.0,-0.5715720119542513,direct_coupling_SCM,P2_global_scaling,history_dependent_relational_mode,D4_edge_cutting,3,,,
10183,mutual_information,0.994918928816876,1.0,-0.005081071183123953,persistent_shared_mode,P5_observation_noise,history_dependent_relational_mode,D5_source_swap,3,,,
10183,pca_rank1_explained_variance,0.9981175579873568,1.0,-0.001882442012643204,history_dependent_relational_mode,P5_observation_noise,direct_coupling_SCM,D5_source_swap,3,,,
10183,pearson,0.8589263488255101,1.0,-0.1410736511744899,persistent_shared_mode,P4_orthogonal_basis_rotation,history_dependent_relational_mode,D4_edge_cutting,3,,,
10183,spectral_coherence,0.5711856518358549,1.0,-0.4288143481641451,persistent_shared_mode,P2_global_scaling,persistent_shared_mode,D6_common_driver_replacement,3,,,
10184,VAR_ARX_predictive,0.895187160929947,1.0,-0.10481283907005301,persistent_shared_mode,P2_global_scaling,history_dependent_relational_mode,D8_block_shuffle,3,,,
10184,autocorrelation_persistence,0.8131136600339822,1.0,-0.18688633996601778,history_dependent_relational_mode,P7_coarse_graining,persistent_shared_mode,D5_source_swap,3,,,
10184,correlon_v1,0.0,1.0,-1.0,persistent_shared_mode,P5_observation_noise,persistent_shared_mode,D6_common_driver_replacement,3,pca_rank1_explained_variance,-0.00772144041222278,-0.9922785595877772
10184,largest_covariance_eigenvalue,0.8738504122409628,1.0,-0.12614958775903717,history_dependent_relational_mode,P7_coarse_graining,history_dependent_relational_mode,D3_IAAFT_surrogate,3,,,
10184,linear_CKA,0.4341065296882984,1.0,-0.5658934703117016,persistent_shared_mode,P2_global_scaling,history_dependent_relational_mode,D2_phase_randomization,3,,,
10184,mutual_information,0.98369616522848,1.0,-0.016303834771519976,persistent_shared_mode,P5_observation_noise,history_dependent_relational_mode,D2_phase_randomization,3,,,
10184,pca_rank1_explained_variance,0.9922785595877772,1.0,-0.00772144041222278,direct_coupling_SCM,P5_observation_noise,history_dependent_relational_mode,D3_IAAFT_surrogate,3,,,
10184,pearson,0.9108181799761248,1.0,-0.0891818200238752,persistent_shared_mode,P4_orthogonal_basis_rotation,history_dependent_relational_mode,D2_phase_randomization,3,,,
10184,spectral_coherence,0.591744291227877,1.0,-0.408255708772123,persistent_shared_mode,P2_global_scaling,persistent_shared_mode,D6_common_driver_replacement,3,,,
10185,VAR_ARX_predictive,0.9608980899648673,1.0,-0.03910191003513275,direct_coupling_SCM,P5_observation_noise,history_dependent_relational_mode,D5_source_swap,3,,,
10185,autocorrelation_persistence,0.7928374674830098,1.0,-0.20716253251699024,direct_coupling_SCM,P7_coarse_graining,persistent_shared_mode,D5_source_swap,3,,,
10185,correlon_v1,0.0,1.0,-1.0,direct_coupling_SCM,P1_node_permutation,persistent_shared_mode,D6_common_driver_replacement,3,pca_rank1_explained_variance,-0.004218572543967625,-0.9957814274560324
10185,largest_covariance_eigenvalue,0.8838262690788412,1.0,-0.11617373092115879,history_dependent_relational_mode,P7_coarse_graining,history_dependent_relational_mode,D7_history_destruction,3,,,
10185,linear_CKA,0.6096614886846065,1.0,-0.39033851131539354,history_dependent_relational_mode,P2_global_scaling,history_dependent_relational_mode,D8_block_shuffle,3,,,
10185,mutual_information,0.99412412938603,1.0,-0.005875870613969991,persistent_shared_mode,P5_observation_noise,history_dependent_relational_mode,D8_block_shuffle,3,,,
10185,pca_rank1_explained_variance,0.9957814274560324,1.0,-0.004218572543967625,history_dependent_relational_mode,P5_observation_noise,history_dependent_relational_mode,D7_history_destruction,3,,,
10185,pearson,0.9147553231031512,1.0,-0.08524467689684878,persistent_shared_mode,P4_orthogonal_basis_rotation,history_dependent_relational_mode,D8_block_shuffle,3,,,
10185,spectral_coherence,0.7836967250684863,1.0,-0.2163032749315137,direct_coupling_SCM,P6_time_reparameterization,persistent_shared_mode,D6_common_driver_replacement,3,,,
10186,VAR_ARX_predictive,0.9493930785622138,1.0,-0.05060692143778622,persistent_shared_mode,P5_observation_noise,history_dependent_relational_mode,D3_IAAFT_surrogate,3,,,
10186,autocorrelation_persistence,0.7922987168507141,1.0,-0.20770128314928593,direct_coupling_SCM,P7_coarse_graining,persistent_shared_mode,D5_source_swap,3,,,
10186,correlon_v1,0.0,1.0,-1.0,direct_coupling_SCM,P5_observation_noise,direct_coupling_SCM,D1_temporal_shuffle,3,pca_rank1_explained_variance,-0.007704970725241567,-0.9922950292747584
10186,largest_covariance_eigenvalue,0.8452846197192213,1.0,-0.1547153802807787,history_dependent_relational_mode,P7_coarse_graining,persistent_shared_mode,D6_common_driver_replacement,3,,,
10186,linear_CKA,0.3920222406684826,1.0,-0.6079777593315174,direct_coupling_SCM,P2_global_scaling,direct_coupling_SCM,D7_history_destruction,3,,,
10186,mutual_information,0.9713994379099368,1.0,-0.02860056209006323,history_dependent_relational_mode,P5_observation_noise,direct_coupling_SCM,D3_IAAFT_surrogate,3,,,
10186,pca_rank1_explained_variance,0.9922950292747584,1.0,-0.007704970725241567,persistent_shared_mode,P5_observation_noise,persistent_shared_mode,D6_common_driver_replacement,3,,,
10186,pearson,0.9765030604918644,1.0,-0.023496939508135584,direct_coupling_SCM,P4_orthogonal_basis_rotation,direct_coupling_SCM,D7_history_destruction,3,,,
10186,spectral_coherence,0.6417291241229076,1.0,-0.3582708758770924,persistent_shared_mode,P2_global_scaling,history_dependent_relational_mode,D2_phase_randomization,3,,,
10187,VAR_ARX_predictive,0.8684529444788444,0.9069763478032872,-0.03852340332444282,persistent_shared_mode,P2_global_scaling,persistent_shared_mode,D6_common_driver_replacement,3,,,
10187,autocorrelation_persistence,0.8011099784414377,1.0,-0.19889002155856228,direct_coupling_SCM,P7_coarse_graining,direct_coupling_SCM,D5_source_swap,3,,,
10187,correlon_v1,0.0,1.0,-1.0,direct_coupling_SCM,P1_node_permutation,persistent_shared_mode,D6_common_driver_replacement,3,pca_rank1_explained_variance,-0.006094639558687609,-0.9939053604413124
