trial,latent_rank,rho,frequency,strength,noise,drift,x_delay,y_delay,sample_length,correlon_score,threshold,crosses_threshold,running_max,direct_edge,T_iso,T_floor
145,2,0.1268507419980889,0.022301345536763818,1.7977777604689444,0.8672588981935524,0.14229327615889087,3,5,450,0.0,0.05106167951270389,False,0.7171807632401254,False,0.004360595844507417,-0.11741473623319727
146,3,0.35360100975992564,0.3859227366321878,1.6310994143956037,0.6968267756346458,1.1359684934035728,0,3,600,0.0,0.05106167951270389,False,0.7171807632401254,False,-0.006747770252918617,-0.12669110474545087
147,2,0.09623399508572378,0.3990400465001276,2.3989597829634297,0.42462995713185836,1.4223826273797242,3,1,300,0.09753222429141806,0.05106167951270389,True,0.7171807632401254,False,0.03317462968184284,0.2867412497580307
148,2,0.6742419448778175,0.048053020215917897,2.1886937834074978,0.2832050569046907,1.3539911298876337,0,0,600,0.0,0.05106167951270389,False,0.7171807632401254,False,-0.1276675390825189,0.7921448682742209
149,2,0.17926534361991847,0.3933687099063371,0.3068036693246658,0.969380061011106,1.1956491310363941,8,5,750,0.016441684116460284,0.05106167951270389,False,0.7171807632401254,False,0.008074067405957785,0.03348113942992215
150,3,0.4481732792483614,0.037825128195788885,0.8530118267580749,1.239762326469475,0.9507170715732989,3,0,600,0.0,0.05106167951270389,False,0.7171807632401254,False,0.008655067728374294,-0.11825851408710147
151,3,0.5275723362454037,0.2134933162367407,1.8389770777477052,1.4937284467427472,0.20609291347366265,5,2,300,0.0,0.05106167951270389,False,0.7171807632401254,False,0.00718092518838051,-0.015853184095601935
152,3,0.732255785287847,0.09288753393730038,1.9613442657645472,1.1192541310594841,1.812581424755904,5,3,300,0.0,0.05106167951270389,False,0.7171807632401254,False,-0.0359969614611807,0.26205281438254946
153,3,0.5755284055111987,0.022581855593610263,1.5311663795606745,1.409154021556068,1.4578607612216543,3,1,750,0.0,0.05106167951270389,False,0.7171807632401254,False,-0.010359650168493814,0.19749673364399545
154,3,0.9633544153634347,0.04216069793397319,2.0162062696233214,1.2724369592474445,1.7335688709263293,5,5,750,0.0,0.05106167951270389,False,0.7171807632401254,False,-0.07426470251248041,0.14616678578531056
155,1,0.23167583153014928,0.2678780458928057,2.7930901455376635,0.8763751672323151,1.7442606890576489,3,8,600,0.0,0.05106167951270389,False,0.7171807632401254,False,0.00015920803606114808,-0.040678628717015296
156,1,0.814748665046212,0.1530474727137462,1.0811421136752797,0.580724873792498,1.5628797026634536,0,1,300,0.2002996665286452,0.05106167951270389,True,0.7171807632401254,False,0.077544233319633,0.5173815600976317
157,1,0.06616025358917497,0.2719457860086908,1.0972335365844994,0.9878929800221173,0.10978756830247671,2,1,300,0.0,0.05106167951270389,False,0.7171807632401254,False,0.00976232746703834,-0.09286267804268664
158,2,0.12477516628925504,0.14380323582087368,2.3963650411413524,0.1725405712810796,1.9858121958300627,2,0,750,0.2668357428911723,0.05106167951270389,True,0.7171807632401254,False,0.19047863185465663,0.37380210573232947
159,2,0.08898629539960358,0.285059422701177,0.6217545216326752,0.27219420855768794,1.2360371692092242,0,2,450,0.29142014223209034,0.05106167951270389,True,0.7171807632401254,False,0.15515734620297703,0.5473521001543289
160,2,0.0459914913766953,0.4160996113329635,2.733324869883321,1.0804276868372107,1.8913022304637752,5,8,750,0.0,0.05106167951270389,False,0.7171807632401254,False,0.006255698357724687,-0.06040567308219146
161,1,0.043504668552221334,0.17839905030763573,2.545018644994942,1.0535025306049217,0.7389226190658689,8,8,600,0.6649290862141433,0.05106167951270389,True,0.7171807632401254,False,0.4816918840457501,0.91787033233797
162,1,0.2069854501447122,0.01960732047661425,2.7867848051018735,1.4702067255990883,1.120362443252985,5,3,600,0.0,0.05106167951270389,False,0.7171807632401254,False,0.00025549811215179463,-0.02544905834744171
163,3,0.8309387896089835,0.397247975789493,2.9346934951324064,0.32079406895945706,1.5944883985036356,1,5,450,0.0,0.05106167951270389,False,0.7171807632401254,False,-0.02802254796761669,0.05109280114205486
164,3,0.026333928441990253,0.06047056207521039,2.539895904149911,0.3856622524780223,0.5905309331549822,5,8,600,0.05443699486499606,0.05106167951270389,True,0.7171807632401254,False,0.013061316416786845,0.2268826751737645
165,1,0.3036379378705504,0.2265112923019107,1.6893367811226483,0.6058992679375503,1.9915576886894504,2,1,750,0.03127670381189035,0.05106167951270389,False,0.7171807632401254,False,0.02516592648679053,0.038871296943912864
166,2,0.9287831946115156,0.07882109454266038,1.746067724889698,0.8347504530903488,1.5384981736360277,2,2,750,0.0,0.05106167951270389,False,0.7171807632401254,False,-0.07187476360439432,-0.01149665509167945
167,1,0.4040287441065501,0.43133823693083684,1.1903889332222009,0.7492683666606764,1.459804095808152,3,1,750,0.0,0.05106167951270389,False,0.7171807632401254,False,-0.0009499416040039399,0.027432367772843955
168,1,0.3173278538135536,0.05156827749208801,2.4396845084992353,1.0737022298474697,0.14782459783942237,2,0,750,0.0,0.05106167951270389,False,0.7171807632401254,False,0.003485893046070207,-0.027128010594010835
169,2,0.9606557672295558,0.24175318893151607,0.87773439199978,0.6925115754271478,1.9154873870113183,0,5,450,0.0,0.05106167951270389,False,0.7171807632401254,False,-0.05352090999191117,-0.0765133319266489
170,2,0.023931840444126426,0.036827271797496564,1.1637204744882947,1.0087254108100032,0.1385483115198447,8,0,750,0.022381591790002025,0.05106167951270389,False,0.7171807632401254,False,0.007739530854814228,0.06472429149147826
171,2,0.12939489189867417,0.15494318698119147,1.4411350827783485,1.0859087849257336,0.3299238844100454,2,8,450,0.0,0.05106167951270389,False,0.7171807632401254,False,0.016140570919891947,-0.2305394930335763
172,1,0.5766696887842978,0.1980818090122635,0.6188828460702096,1.4264892836473861,1.7945875030410905,2,0,750,0.030239256789513308,0.05106167951270389,False,0.7171807632401254,False,0.019947341163727247,0.045841330113956136
173,2,0.2568431303794091,0.23566664837810739,2.5289609205437147,1.1338028942103142,1.4394209167409686,2,3,600,0.0,0.05106167951270389,False,0.7171807632401254,False,-0.016990568923876764,0.001281315731628832
174,1,0.8049576057075376,0.1066027531259887,1.5597230328374097,0.8210308504285209,1.3225529732521155,0,3,300,0.0,0.05106167951270389,False,0.7171807632401254,False,0.011236831198428276,-0.1523110902215416
175,3,0.3318687441395002,0.33935729566008976,2.3507303482415267,1.4882800884721565,1.8653913906324113,8,0,750,0.08498292910814073,0.05106167951270389,True,0.7171807632401254,False,0.02469420010632649,0.2924613151550926
176,3,0.7098374131913281,0.34030635815923616,1.3768338982768256,1.0245589709934586,1.3284816196038691,0,2,600,0.04239499599983737,0.05106167951270389,False,0.7171807632401254,False,0.005952311052728421,0.3019559411301874
177,3,0.03082745872964536,0.4452829930292772,0.6853767279793008,0.3368596365862653,0.64179338318555,1,5,300,0.0,0.05106167951270389,False,0.7171807632401254,False,-0.00571150896815506,0.07770351125293332
178,2,0.905010099936524,0.25365671686024155,0.8863238871573733,0.46864892253516455,1.105985939992875,0,0,450,0.0,0.05106167951270389,False,0.7171807632401254,False,-0.028685317360348572,0.0838189413107931
179,2,0.9407488998712775,0.4314340482446717,1.3645576766609873,0.5187574762968122,0.40504218741573705,5,0,600,0.0,0.05106167951270389,False,0.7171807632401254,False,-0.006284420688835141,0.4534627275651594
180,3,0.35088106538460073,0.4217517054625308,1.3367821980201777,0.29346985401013453,1.1276314478353362,0,8,450,0.0,0.05106167951270389,False,0.7171807632401254,False,-0.020758506049467607,0.2568311914511701
181,2,0.47391820282816083,0.08829069437979518,1.8704964551950036,0.9477663955173318,0.534260099138899,1,2,750,0.07292573184066485,0.05106167951270389,True,0.7171807632401254,False,0.01905511205858805,0.2790937333847736
182,3,0.8876077444915742,0.3540720179661801,1.644785144535106,1.3885506409038468,1.9447420669753754,2,2,600,0.0,0.05106167951270389,False,0.7171807632401254,False,-0.03532768899980579,0.15580463362214203
183,2,0.8593216477930513,0.2649564831865944,0.655623924509976,0.590200350208423,0.004322756798525118,2,1,600,0.0,0.05106167951270389,False,0.7171807632401254,False,-0.031577155907905066,-0.3107578222030908
184,3,0.7440332037577301,0.016922714325370753,1.8942695575776314,0.6715346721369189,1.7083002224611818,3,8,450,0.0,0.05106167951270389,False,0.7171807632401254,False,-0.023913118392353744,0.06800915221714593
185,1,0.8589863436830385,0.1831545259689367,2.7960690862681385,0.23603536183845228,1.2460503417062572,5,0,300,0.20275486146475463,0.05106167951270389,True,0.7171807632401254,False,0.053533072210207075,0.7679277902483906
186,1,0.9183288410276427,0.2865069589299686,0.6336360072758513,1.3051671290850921,0.18666962591803915,3,8,600,0.0,0.05106167951270389,False,0.7171807632401254,False,-0.023019124260013762,-0.014611080621183298
187,1,0.7476127506875119,0.021538461907421824,0.655777611700685,1.2063577091371975,0.7315661839254217,3,3,600,0.045448714255718524,0.05106167951270389,False,0.7171807632401254,False,0.02061876382066659,0.10017989659630203
188,1,0.6454725641711598,0.4389566234902417,1.5965839085818938,0.8526846242210507,0.31564354086899904,0,8,600,0.01651323714402993,0.05106167951270389,False,0.7171807632401254,False,0.011600206235071173,0.02350708215432833
189,1,0.2851875335193045,0.32348104491226004,0.7541012469019985,0.2538218392314776,1.9818464679838375,1,5,300,0.4028825655557496,0.05106167951270389,True,0.7171807632401254,False,0.24176203691470521,0.671380683668082
190,1,0.974157488513066,0.28037470889083316,0.3616285777280398,0.7810425394428195,1.0445859821418215,2,0,450,0.0,0.05106167951270389,False,0.7171807632401254,False,-0.03487736518673934,0.055369030735131365
191,2,0.5165883505093214,0.20659424832165627,0.8228092307685113,1.1563242522601953,1.5354582893354722,1,8,450,0.0,0.05106167951270389,False,0.7171807632401254,False,0.0016882483375213891,-0.20312686291070334
192,2,0.3170340423325184,0.4469778750966851,0.4414248343368975,0.46806806202265394,1.6271101163167263,8,5,600,0.045197714084587115,0.05106167951270389,False,0.7171807632401254,False,0.02192309369382152,0.09318180120937067
193,3,0.8884982213486221,0.3554054694507217,1.1910217570684336,0.7601797414512078,1.1886622500835495,8,0,450,0.07670480802655054,0.05106167951270389,True,0.7171807632401254,False,0.02623134852362173,0.22429756400406464
194,3,0.2909816585094289,0.1205634182913255,2.2349308948051085,1.3107034892036267,1.974701725298483,8,8,300,0.0,0.05106167951270389,False,0.7171807632401254,False,-0.041597989079859385,-0.07249611657610941
195,3,0.6641286355066545,0.39811088105970566,1.5866765883318257,0.5882227059434805,1.1433248499284945,5,2,300,0.04332357667678621,0.05106167951270389,False,0.7171807632401254,False,0.031073484832075365,0.060403019043809514
196,2,0.36740452418087194,0.38368161433721687,0.9486119230176431,0.2224305207677739,1.5667000867829934,1,0,600,0.0,0.05106167951270389,False,0.7171807632401254,False,-0.08128304847579038,-0.06447720097161025
197,1,0.8660355120819802,0.3715974446191954,1.3896056642067645,0.5069660532906349,0.12349211513862568,1,5,600,0.3566411468836317,0.05106167951270389,True,0.7171807632401254,False,0.18270172048169286,0.6961779413742148
198,1,0.23903499142536438,0.311361725251064,2.1117693603591743,0.6803991361561247,1.3630722815913323,8,2,450,0.0,0.05106167951270389,False,0.7171807632401254,False,0.027930437581116574,-0.056050067414447305
199,2,0.8771959670780669,0.06347950246155117,2.390404483063048,1.2965416558278267,1.445059718958071,5,0,750,0.0,0.05106167951270389,False,0.7171807632401254,False,0.002825015032466738,-0.03384566732091092
200,3,0.6471382105703484,0.3142499694620816,0.5818953902507273,0.208555929875469,0.8523617926818736,2,1,300,0.04936761044374689,0.05106167951270389,False,0.7171807632401254,False,0.02617799853535288,0.0930995911560698
201,2,0.7322920922233292,0.11941672531781786,0.6000557709375214,0.27179584932733736,1.3005425821807362,0,0,750,0.0,0.05106167951270389,False,0.7171807632401254,False,-0.062144817027019794,0.7432118009594912
202,2,0.4302987617198708,0.31546171821777413,2.935771690951834,0.3956421974898222,0.34424747950051304,3,2,450,0.0,0.05106167951270389,False,0.7171807632401254,False,-0.02931478197818599,-0.05725075873941107
203,2,0.1178695428684166,0.34566774631191516,0.22824858420038324,1.457622689849181,0.5849824152562599,5,5,600,0.0,0.05106167951270389,False,0.7171807632401254,False,-0.003017601874201317,0.08074549183958663
204,3,0.9791170076042606,0.07240122838103513,0.8731227509872392,0.5093150281947267,1.8037870929517927,5,5,450,0.0,0.05106167951270389,False,0.7171807632401254,False,-0.07928820272923753,0.035002350445790364
205,3,0.011504934541550833,0.42606023967298406,0.6928215497480434,1.256674323946461,0.6366547534252578,5,2,600,0.0,0.05106167951270389,False,0.7171807632401254,False,-0.0002510718817559793,0.28297382623811296
206,1,0.070144868311365,0.28120741434753577,1.8403143364145085,0.8593085186056125,0.5156076173248678,1,3,600,0.0,0.05106167951270389,False,0.7171807632401254,False,-0.008005335949396133,-0.12262846069070055
207,3,0.7616880977301971,0.43994885239533255,1.474981653638825,1.31137781260967,1.4315603330789353,0,3,600,0.03851408080155345,0.05106167951270389,False,0.7171807632401254,False,0.009825993253796794,0.15096025222848825
208,2,0.3645883226683987,0.3741445719858523,1.5160842553182496,1.031653408395682,0.9885896177465214,8,8,450,0.0,0.05106167951270389,False,0.7171807632401254,False,-0.021635914595718897,0.19543510025253907
209,2,0.3892763597362336,0.11135035828016994,0.7862831289981123,0.4424817373564296,1.2692539847343702,3,3,750,0.0,0.05106167951270389,False,0.7171807632401254,False,-0.006954220415619716,0.6816839325442696
210,1,0.852050436421868,0.133464245023167,2.115147457479045,0.1253107671104721,1.08941115587888,3,3,600,0.46222144168140333,0.05106167951270389,True,0.7171807632401254,False,0.23068891828164262,0.9261331785742579
211,1,0.6522834706534859,0.003941222112636822,1.5395414573392985,0.21482769353510153,0.5563333882022081,5,0,600,0.09382752770862082,0.05106167951270389,True,0.7171807632401254,False,0.05406544551683355,0.16283237605377654
212,2,0.7888339474222554,0.09846858682753012,1.8916731721995312,0.5372667576109064,0.9463292450142275,3,3,750,0.0,0.05106167951270389,False,0.7171807632401254,False,-0.0202559352170492,0.8569498463708771
213,1,0.741626168664319,0.14472175154548342,0.5639622022629924,0.8440127699094228,1.4955524241516358,0,5,300,0.0015468946051460147,0.05106167951270389,False,0.7171807632401254,False,0.06291290097367104,3.803485266767881e-05
214,2,0.3123613720563456,0.39234706001533837,0.45380627371161214,1.0092151209236344,0.3421600108979117,8,1,600,0.006262643427140851,0.05106167951270389,False,0.7171807632401254,False,0.009742446161222856,0.004025755138541878
215,1,0.897875187754882,0.3755335843190252,2.3213828477194656,0.5310252105368721,0.42428090901595517,8,8,600,0.7224829465807626,0.05106167951270389,True,0.7224829465807626,False,0.6047324082496064,0.8631612941183244
