stage,seed,dimension,true_rank,strength,rank,method,train_samples,heldout_samples,field_evaluation_samples,cca_identity_diff,scale,generator_error,vector_field_cosine,orbit_shape_error,frequency_error,stability_max_real_eigenvalue
development,0,4,2,0.1,1,pca_rank_matched,2000,1000,64,0.0,1.0690126544188217,0.1936565994572263,0.9827431365072096,0.092889352169101,0.1686957604165403,2.220446049250313e-16
development,0,4,2,0.1,1,random_rank_matched,2000,1000,64,0.0,1.010405672045963,0.0558184019116507,0.998748077084144,0.0250192217690303,0.0089741278646408,1.8041124150158796e-16
development,0,4,2,0.1,1,raw_svd,2000,1000,64,0.0,1.0098360164370208,0.061592105911483,0.998592677371432,0.0265266152059402,0.0051105128073473,2.220446049250313e-16
development,0,4,2,0.1,1,full_state_oracle,2000,1000,64,0.0,1.0,0.0,1.0,0.0,0.0,2.220446049250313e-16
development,0,4,2,0.1,2,correlon,2000,1000,64,0.0,1.0090678748788695,0.0634142381425065,0.9984315633547468,0.0280038983469553,0.0061539942835778,2.220446049250313e-16
development,0,4,2,0.1,2,cca_equivalent,2000,1000,64,0.0,1.0090678748788695,0.0634142381425065,0.9984315633547468,0.0280038983469553,0.0061539942835778,2.220446049250313e-16
development,0,4,2,0.1,2,block_diagonal,2000,1000,64,0.0,1.0133606627989031,0.0455065801034536,0.9991420885979214,0.0207112457626121,0.0054529027021539,7.59248443659536e-17
development,0,4,2,0.1,2,pca_rank_matched,2000,1000,64,0.0,1.1155675283174864,0.2200842840011305,0.9748122283784708,0.1122224835350056,0.1356841927767805,8.326672684688674e-17
development,0,4,2,0.1,2,random_rank_matched,2000,1000,64,0.0,1.0093049564517935,0.0654654475742539,0.998238775110045,0.0296751149109402,0.0095507967428336,1.6653345369377348e-16
development,0,4,2,0.1,2,raw_svd,2000,1000,64,0.0,1.0093998722259,0.0622376473991673,0.998498781392424,0.027397249931114,0.0077258831917724,2.7755575615628914e-16
development,0,4,2,0.1,2,full_state_oracle,2000,1000,64,0.0,1.0,0.0,1.0,0.0,0.0,2.220446049250313e-16
development,0,4,2,0.1,4,correlon,2000,1000,64,0.0,1.008540755730014,0.0654503791511359,0.9982922323541128,0.0292212905762843,0.0068702494432232,4.440892098500626e-16
development,0,4,2,0.1,4,cca_equivalent,2000,1000,64,0.0,1.008540755730014,0.0654503791511359,0.9982922323541128,0.0292212905762843,0.0068702494432232,4.440892098500626e-16
development,0,4,2,0.1,4,block_diagonal,2000,1000,64,0.0,1.0133606627989031,0.0455065801034536,0.9991420885979214,0.0207112457626121,0.0054529027021539,7.59248443659536e-17
development,0,4,2,0.1,4,pca_rank_matched,2000,1000,64,0.0,1.0085407761932117,0.0654503789518387,0.9982922323534944,0.0292212905815732,0.0068702472610976,2.220446049250313e-16
development,0,4,2,0.1,4,random_rank_matched,2000,1000,64,0.0,1.0080124556410848,0.0691585917418944,0.9981902297617056,0.030081308468005,0.0038221780038607,2.220446049250313e-16
development,0,4,2,0.1,4,raw_svd,2000,1000,64,0.0,1.0085407557300134,0.0654503791511358,0.9982922323541128,0.0292212905762843,0.0068702494432227,3.8857805861880484e-16
development,0,4,2,0.1,4,full_state_oracle,2000,1000,64,0.0,1.0,0.0,1.0,0.0,0.0,2.220446049250313e-16
development,0,4,2,0.25,1,correlon,2000,1000,64,0.0,0.9832609285176992,0.0649206848491965,0.9983983135931777,0.0282991731930677,0.011051913810636,3.3306690738754696e-16
development,0,4,2,0.25,1,cca_equivalent,2000,1000,64,0.0,0.9832609285176992,0.0649206848491965,0.9983983135931777,0.0282991731930677,0.011051913810636,3.3306690738754696e-16
