dimension,condition,beta,sample_size,seed,control,scale,generator_error,vector_field_cosine,orbit_shape_error,frequency_error,trajectory_error
4,1.5,1.0,2000,75,coordinate_shuffled,0.9844247261031399,0.22364588305312041,0.9818739645752175,0.0951998829431597,0.03454011076627096,0.06924108773614727
4,1.5,1.0,2000,75,random_SPD_matched_spectrum,0.9794588557386893,0.2440851591503647,0.9813298397899436,0.09661821828738223,0.048460507284438493,0.07528847886072708
4,1.5,1.0,2000,75,PCA_rank_matched,1.1414142261008071,0.257442098425256,0.9734333818730279,0.11525323884163101,0.15052276391158928,0.0803377324559549
4,1.5,1.0,2000,75,unknown_symplectic_structure,0.0,1.0,,,,0.311398430383367
4,1.5,1.0,2000,76,diagonal_only,1.022938834669023,0.11776260580693838,0.995390627901604,0.04800714581390966,0.05428792985586425,0.036574392486155356
4,1.5,1.0,2000,76,coordinate_shuffled,0.9882821244280287,0.1729152324266232,0.9900187376200894,0.0706443995653955,0.016769816560921247,0.05372827238825968
4,1.5,1.0,2000,76,random_SPD_matched_spectrum,0.9901371338065055,0.1620323908090377,0.9910195770594707,0.06700904021297924,0.03531200321917277,0.0505798337757231
4,1.5,1.0,2000,76,PCA_rank_matched,1.1370155599977396,0.24852402321061204,0.9751040269535123,0.11157054505219507,0.14266525043789563,0.07764397134419772
4,1.5,1.0,2000,76,unknown_symplectic_structure,0.9826800847071654,0.18531014845366164,,,,0.056998076851838046
4,1.5,1.0,2000,77,diagonal_only,1.0097238383200462,0.1260040278277383,0.994166517596544,0.05400686254290295,0.024182704250057876,0.03885981687938856
4,1.5,1.0,2000,77,coordinate_shuffled,0.9782289514350677,0.1851131474356996,0.9887171670596897,0.0751093633986811,0.06431393280557106,0.057308188262220935
4,1.5,1.0,2000,77,random_SPD_matched_spectrum,0.982771946916713,0.1589846583113379,0.9902184958312427,0.06993391226278335,0.045939096954316444,0.04937593013826502
4,1.5,1.0,2000,77,PCA_rank_matched,1.1282959482224935,0.2561681156346962,0.9729924025401713,0.11620584636718725,0.14608303994612298,0.0799156010034184
4,1.5,1.0,2000,77,unknown_symplectic_structure,0.0,1.0,,,,0.3112000551423704
4,1.5,1.0,2000,78,diagonal_only,0.9993989548392206,0.10688852376784634,0.9962005214637798,0.04358599853290098,0.0024763513868647736,0.03293268086673722
4,1.5,1.0,2000,78,coordinate_shuffled,0.969609946002572,0.1951754475611805,0.9866287835173126,0.08176556880095481,0.027088321536642514,0.06037467106217269
4,1.5,1.0,2000,78,random_SPD_matched_spectrum,0.9584648115098011,0.24511128524505038,0.9813167857083349,0.09665198987001032,0.07593935363496054,0.07586637276225264
4,1.5,1.0,2000,78,PCA_rank_matched,1.1107366037207078,0.2518621118807733,0.9748653371378795,0.11210410978666342,0.15616147166099514,0.07874291692400898
4,1.5,1.0,2000,78,unknown_symplectic_structure,0.05993834604515467,0.998202081080465,,,,0.3106947124888582
4,1.5,1.0,2000,79,diagonal_only,0.9952187498952957,0.1291341410884081,0.9941579591063543,0.05404646562748435,0.025624689201715276,0.03976734625114089
4,1.5,1.0,2000,79,coordinate_shuffled,0.9427672138502441,0.2510431138212523,0.9766223571738242,0.10811485287918553,0.0837536513755917,0.07756842101602598
4,1.5,1.0,2000,79,random_SPD_matched_spectrum,0.9513987227206692,0.21397921608954684,0.9844585634818788,0.08815167757371707,0.051735927915759476,0.06609658062527518
4,1.5,1.0,2000,79,PCA_rank_matched,1.0903249855735702,0.2660022702122367,0.9703497408183184,0.12175848878349618,0.16128860137527778,0.0830185549933142
4,1.5,1.0,2000,79,unknown_symplectic_structure,0.0,1.0,,,,0.3111919494604055
4,1.5,1.0,2000,80,diagonal_only,1.017865079880424,0.14211117948364968,0.9926867685067413,0.06046995738901507,0.10902788670355068,0.04419772646281431
4,1.5,1.0,2000,80,coordinate_shuffled,0.9910885149413557,0.14334446627731312,0.9932102069631058,0.05826574052088487,0.006362548930124374,0.04420320672133916
