dimension,condition,sample_size,generator_error_median,generator_error_mean,vector_field_cosine_median,orbit_shape_error_median,frequency_error_median,trajectory_error_median
4,10.0,10000,0.012333111647464779,0.013465706392915744,0.999862728087396,0.008284669475041872,0.007642094109879491,0.015322153853019847
4,30.0,500,0.04496903606307966,0.0464463523876542,0.9963783038979741,0.04255403991799855,0.043282532159060354,0.10465628631415586
4,30.0,2000,0.022281999862204836,0.024308154338130716,0.9990834577848687,0.021407267566840575,0.018913246033704298,0.05024199828790653
4,30.0,10000,0.009685834325065526,0.010226499704587253,0.9998163948630294,0.009581365689368012,0.008234168581415128,0.026863610318465014
8,1.5,500,0.13192642026647308,0.13217638997668948,0.9929331146104792,0.05944276822928416,0.03987729843522605,0.057439620905799293
8,1.5,2000,0.06574621651639798,0.06564295263869314,0.9982607346712573,0.029489534827991236,0.017160249531252378,0.026726051690459704
8,1.5,10000,0.029168619784851347,0.029168086031853713,0.9996506386733003,0.013216681253244947,0.006782063971330233,0.01229333852081077
8,3.0,500,0.12436706035052401,0.12541754038803363,0.9929973096941263,0.05917216535616143,0.03341058701662632,0.07645859978348514
8,3.0,2000,0.060740617003542816,0.06161254465639907,0.9982049898203766,0.029958389306030325,0.015741570668468347,0.03834766831201799
8,3.0,10000,0.026629008711717687,0.026981820335265687,0.9996628366299276,0.012983881136229829,0.006944635853428838,0.017148194300546937
8,10.0,500,0.10433076685487234,0.10507765648215493,0.9928787271039237,0.0596710687690287,0.03680863460043271,0.11786030551302307
8,10.0,2000,0.05079668770227732,0.052535136253687574,0.9981646744268131,0.030292949453519076,0.017977753825965444,0.060571271210995495
8,10.0,10000,0.02251035894688761,0.022935424970903368,0.9996482985163393,0.013260871736922187,0.0077049864505088165,0.025716224359693493
8,30.0,500,0.08429764515740308,0.08709330575399261,0.9925859525623777,0.06088533254250254,0.037475498877445834,0.16483916492325967
8,30.0,2000,0.04256330327251868,0.04362456701069042,0.9982334448497627,0.02971997775562423,0.021610038585138373,0.08009773778596918
8,30.0,10000,0.01907183450123247,0.019763242135959272,0.9996370350839319,0.013471542526156378,0.00899386246817024,0.035860913876881936
16,1.5,500,0.18157112947999737,0.1820800868166655,0.9851856752620127,0.08606480942531061,0.0667869613706687,0.0811384365518357
16,1.5,2000,0.09056426880527095,0.09106807384945535,0.996277718541581,0.04314094029120772,0.021914608341691257,0.03971215222425539
16,1.5,10000,0.04034815511918887,0.04045207953809903,0.999258914183685,0.019249491114247664,0.007641928547136927,0.017825560891624202
