model,dimension,seed,beta,scale_estimate,generator_error,flow_frobenius_error,expectation_trajectory_error
random_hermitian,2,9,2.0,1.9999999999999996,3.7662860358642897e-16,6.231180679669399e-16,1.5081931271143386e-16
random_hermitian,2,9,4.0,3.9999999999998677,2.6038145158255934e-16,1.1534781334534162e-15,1.8766478363202405e-16
random_hermitian,2,10,0.25,0.25,2.907316856112428e-16,3.909077036284729e-16,7.615436059538182e-17
random_hermitian,2,10,0.5,0.4999999999999999,4.479731096044097e-16,8.882959788081219e-16,2.1196552029637976e-16
random_hermitian,2,10,1.0,0.9999999999999996,3.738097595103597e-16,8.956054649500215e-16,2.4249205625880763e-16
random_hermitian,2,10,2.0,2.0000000000000013,3.876799927764416e-16,1.02866507157692e-15,1.2828586690513793e-16
random_hermitian,2,10,4.0,4.000000000000033,2.0393378131281958e-16,2.0128562017262935e-15,3.914818346988062e-16
random_hermitian,2,11,0.25,0.25,5.446974142405741e-16,1.4541609397746449e-15,4.328370844052983e-16
random_hermitian,2,11,0.5,0.5,2.737207112268841e-16,2.0080484689645063e-15,4.928265605897443e-16
random_hermitian,2,11,1.0,1.0000000000000002,1.7609839267092475e-16,6.280161680854775e-16,1.2185345604230805e-16
random_hermitian,2,11,2.0,1.9999999999999987,1.2499047923020093e-16,7.83350854474884e-16,1.2777693024040537e-16
random_hermitian,2,11,4.0,3.9999999999997464,3.4680225818435426e-16,9.78150413113021e-16,2.1967844240080684e-16
random_hermitian,2,12,0.25,0.24999999999999958,3.5714009155364854e-16,8.883220020712604e-16,1.6920020401497496e-16
random_hermitian,2,12,0.5,0.4999999999999998,1.7161704155083507e-16,8.886245387076693e-16,2.3763598399263067e-16
random_hermitian,2,12,1.0,1.0,2.3634117578414647e-16,1.1831057746689977e-15,2.4212783091753225e-16
random_hermitian,2,12,2.0,2.0000000000000004,1.8464097569409214e-16,1.6584987446315496e-15,3.583944219640662e-16
random_hermitian,2,12,4.0,4.000000000000017,1.00557527418357e-16,5.635545302771371e-15,8.192062718925935e-16
random_hermitian,2,13,0.25,0.25000000000000006,3.201700268688881e-16,6.783151476672918e-16,2.0026456905963448e-16
random_hermitian,2,13,0.5,0.5000000000000001,3.7452917723174114e-16,5.980619515301435e-16,1.4871075575794874e-16
random_hermitian,2,13,1.0,1.0,2.7062241398537293e-16,3.9597067976200316e-16,7.438148850750712e-17
random_hermitian,2,13,2.0,2.000000000000001,2.996018588352489e-16,6.465530162581413e-16,1.2073917848764453e-16
random_hermitian,2,13,4.0,4.00000000000024,3.467143941488246e-16,1.4766919280049266e-15,1.8973329852956394e-16
random_hermitian,2,14,0.25,0.25000000000000017,2.392691436526174e-16,5.72108991509323e-16,1.167667012933372e-16
random_hermitian,2,14,0.5,0.4999999999999998,1.1350977025850312e-16,3.6245829478264864e-16,7.642428771604025e-17
random_hermitian,2,14,1.0,0.9999999999999997,1.114918021103673e-16,1.0359510477009191e-15,1.4496109146271318e-16
random_hermitian,2,14,2.0,1.9999999999999993,1.2522922372603446e-16,7.367124122490697e-16,1.1966645316956598e-16
random_hermitian,2,14,4.0,4.0000000000000036,1.8876914112766997e-16,4.868385215839021e-16,8.836180950494155e-17
random_hermitian,2,15,0.25,0.24999999999999978,1.1594726548715216e-15,7.927866162083063e-16,2.0586155133143088e-16
random_hermitian,2,15,0.5,0.4999999999999997,3.870139874777202e-16,9.1076619687708e-16,1.7634484476283803e-16
random_hermitian,2,15,1.0,1.0,4.1911715559671043e-16,5.503966317454833e-16,1.1469738590466544e-16
random_hermitian,2,15,2.0,2.0000000000000013,3.025388562713977e-16,8.083916698688779e-16,1.5925683734688392e-16
random_hermitian,2,15,4.0,4.000000000000116,3.107362452375408e-16,6.169088112002512e-16,1.6318259045650138e-16
random_hermitian,2,16,0.25,0.24999999999999992,1.0476240171379378e-15,7.714110907980689e-16,8.02025892264042e-17
random_hermitian,2,16,0.5,0.5,2.0770865806287639e-16,3.443483839267432e-16,7.24680732089311e-17
random_hermitian,2,16,1.0,0.9999999999999996,3.5552666941234634e-16,1.1174350591768479e-15,2.5216691895298957e-16
random_hermitian,2,16,2.0,1.9999999999999976,3.142568465648545e-16,1.135367653599976e-15,2.1778699229718774e-16
random_hermitian,2,16,4.0,4.000000000000199,3.188894007729127e-16,1.0585053472999768e-15,1.6464429901984665e-16
random_hermitian,2,17,0.25,0.2500000000000003,8.583028365265946e-16,8.593992650448628e-16,2.164545458399744e-16
random_hermitian,2,17,0.5,0.5000000000000001,1.11025545079727e-16,1.1423277560365405e-15,3.8943588361234907e-16
random_hermitian,2,17,1.0,1.0000000000000007,4.350321545358453e-16,1.138609777258261e-15,2.7713924946608774e-16
random_hermitian,2,17,2.0,2.0000000000000044,2.637234869074907e-16,1.2623107592050409e-15,3.012254640243062e-16
random_hermitian,2,17,4.0,4.00000000000024,1.717364732290263e-16,1.8971365705355014e-15,3.224979299307837e-16
random_hermitian,2,18,0.25,0.25000000000000006,6.207441635537459e-16,9.074904521304885e-16,2.4909464664784373e-16
random_hermitian,2,18,0.5,0.4999999999999997,3.926819150971609e-16,7.411851449247494e-16,1.5215225152617888e-16
random_hermitian,2,18,1.0,0.9999999999999998,1.538919956098667e-16,4.505259876730606e-16,9.096366693480267e-17
random_hermitian,2,18,2.0,1.9999999999999993,4.2149666541388313e-16,1.0195671084053584e-15,2.1429735362627248e-16
