control,dimension,scale_estimate,generator_error,flow_frobenius_error,expectation_trajectory_error
generic_non_gibbs_unrelated_H,2,0.08743491710975364,0.9885188531498682,1.0758490205880529,0.0526278456720537
gibbs_eigenvectors_rotated,2,0.0,1.0,1.671353779569481,0.294661024057275
incorrect_diagonal_observable_algebra,2,1.0,,4.449557262054376e-16,9.436895709313829e-17
generic_non_gibbs_unrelated_H,2,0.344054006454387,0.3688073136154462,0.22655290621973506,0.03263355647481155
gibbs_eigenvectors_rotated,2,0.4140809272626462,0.9102400703535891,1.4232052462680649,0.2564408122859654
incorrect_diagonal_observable_algebra,2,1.0,,4.161853528055779e-16,7.494005416219806e-17
generic_non_gibbs_unrelated_H,2,0.0,1.0,1.3139886211779994,0.1660393904270616
gibbs_eigenvectors_rotated,2,0.5376234516326768,0.8431850474567054,1.2461773098860471,0.23792537158606905
incorrect_diagonal_observable_algebra,2,1.0,,9.513083001296627e-16,3.080868893334809e-16
generic_non_gibbs_unrelated_H,2,0.0,1.0,0.3618668202083853,0.03775003739437029
gibbs_eigenvectors_rotated,2,0.2664313179840213,0.9638539063557803,1.578406311786339,0.25116642660910743
incorrect_diagonal_observable_algebra,2,1.0,,4.790834771251406e-16,5.828670879282071e-17
generic_non_gibbs_unrelated_H,2,0.0,1.0,0.5440124755953325,0.08975540577887894
gibbs_eigenvectors_rotated,2,0.42264636090433716,0.9062946836511405,1.2594177082768543,0.1967469920345581
incorrect_diagonal_observable_algebra,2,1.0,,7.177575425079554e-16,1.9984014443252813e-16
generic_non_gibbs_unrelated_H,2,0.0,1.0,0.873166270318246,0.14368133075917794
gibbs_eigenvectors_rotated,2,0.23150447442943994,0.9728338390080543,1.6210584473408736,0.2704440487638231
incorrect_diagonal_observable_algebra,2,1.0,,5.376686741050567e-16,1.5265566588595898e-16
generic_non_gibbs_unrelated_H,2,0.5869433141100662,0.7275395063768362,0.9996916658547115,0.1650084480293848
gibbs_eigenvectors_rotated,2,0.0,1.0,1.5513076776754142,0.11528491354716244
incorrect_diagonal_observable_algebra,2,1.0,,3.031486969601306e-16,8.326672684688672e-17
generic_non_gibbs_unrelated_H,2,0.41562215625969634,0.7341077596575444,0.823769583945874,0.1469052693570134
gibbs_eigenvectors_rotated,2,0.0,1.0,1.6747986801028616,0.24734217212365062
incorrect_diagonal_observable_algebra,2,1.0,,1.0813039625600214e-15,3.30291349825984e-16
generic_non_gibbs_unrelated_H,2,0.0,1.0,0.5166229781315811,0.05391208273845843
gibbs_eigenvectors_rotated,2,0.0,1.0,1.2940862365906394,0.23261242714361083
incorrect_diagonal_observable_algebra,2,1.0,,4.1271420400159164e-16,8.881784197001252e-17
generic_non_gibbs_unrelated_H,2,0.09443744215082739,0.8846269475923022,0.34924272765111597,0.05237647980279838
gibbs_eigenvectors_rotated,2,0.9762953590605591,0.21644253712432238,0.35183681617694895,0.02882751151798581
incorrect_diagonal_observable_algebra,2,1.0,,8.798393290957141e-16,2.109423746787797e-16
generic_non_gibbs_unrelated_H,2,0.04787612224513872,0.9973861061867059,1.224540831159047,0.1521237968506696
gibbs_eigenvectors_rotated,2,0.08099697930638186,0.9967143469135185,1.5982899984024936,0.2243009692508605
incorrect_diagonal_observable_algebra,2,1.0,,3.2818533557344894e-16,7.494005416219806e-17
generic_non_gibbs_unrelated_H,2,0.018031451613509705,0.9919954886796026,0.27256607323498244,0.03975449845738256
gibbs_eigenvectors_rotated,2,0.06531109956685979,0.9978649509193956,1.4798857337740834,0.20559137204007558
incorrect_diagonal_observable_algebra,2,1.0,,7.117896435708123e-16,1.0824674490095275e-16
generic_non_gibbs_unrelated_H,2,0.0,1.0,0.5452714470886867,0.06253055998816161
gibbs_eigenvectors_rotated,2,0.0,1.0,1.6792280634448624,0.2978388648466739
incorrect_diagonal_observable_algebra,2,1.0,,7.929633589145111e-16,7.216449660063515e-17
generic_non_gibbs_unrelated_H,2,0.0,1.0,0.7931628928430913,0.12541246789746224
gibbs_eigenvectors_rotated,2,0.0,1.0,1.5393995094152,0.27881469806804365
incorrect_diagonal_observable_algebra,2,1.0,,9.29867769462901e-16,2.720046410331633e-16
generic_non_gibbs_unrelated_H,2,0.0,1.0,0.194988803363523,0.028617614251507013
gibbs_eigenvectors_rotated,2,0.0,1.0,1.6170934341858145,0.2722498285294512
incorrect_diagonal_observable_algebra,2,1.0,,5.533580336556468e-16,1.27675647831893e-16
generic_non_gibbs_unrelated_H,2,0.3832464593652325,0.5106079670167446,0.42036176269400016,0.07050455160925462
gibbs_eigenvectors_rotated,2,0.0,1.0,1.6674568112595096,0.2700831741519364
incorrect_diagonal_observable_algebra,2,1.0,,2.8168970532565677e-16,8.62157567560473e-17
generic_non_gibbs_unrelated_H,2,0.21215661995813687,0.9001628996091842,0.7549121489097556,0.14008826579836367
gibbs_eigenvectors_rotated,2,0.0,1.0,1.6374028724294907,0.22252420189871125
incorrect_diagonal_observable_algebra,2,1.0,,5.978125762170112e-16,1.498801083243961e-16
generic_non_gibbs_unrelated_H,2,0.10578785389290116,0.7314219096287655,0.22501074535103777,0.01607539205157398
gibbs_eigenvectors_rotated,2,0.6795322277974081,0.7336456579198788,1.1699625911197922,0.13215618019522996
incorrect_diagonal_observable_algebra,2,1.0,,5.579686367726212e-16,1.4294121442048887e-16
generic_non_gibbs_unrelated_H,2,0.47398043686248775,0.956158009944779,1.9123684895175042,0.32921090256314633
gibbs_eigenvectors_rotated,2,0.4403760532240359,0.897813417000894,1.4130990393110776,0.040331597777726165
incorrect_diagonal_observable_algebra,2,1.0,,4.2691876405153554e-16,1.589006703994755e-16
generic_non_gibbs_unrelated_H,2,0.043473168434235966,0.8383208904726416,0.12666458495700392,0.015217916317270578
gibbs_eigenvectors_rotated,2,0.0,1.0,1.29859180309801,0.19971229224556378
incorrect_diagonal_observable_algebra,2,1.0,,7.577386895082954e-16,2.2065682614424987e-16
generic_non_gibbs_unrelated_H,2,0.0,1.0,1.6530817037890568,0.2860931614153058
gibbs_eigenvectors_rotated,2,0.6324424083738618,0.774607384479563,1.3031035450614528,0.1443129933940755
