stage,seed,negative_class,metric,score,direct_edge,mechanism,T_iso,T_floor,T_pers
confirmatory,10000,mixture_without_relational_mechanism,correlon_v1,0.0,False,blockwise_changing_common_factor_mixture,0.23607828274510148,-0.026065122548469565,0.31476161486244925
confirmatory,10000,mixture_without_relational_mechanism,pearson,0.1356748974376001,False,blockwise_changing_common_factor_mixture,,,
confirmatory,10000,mixture_without_relational_mechanism,mutual_information,0.036943475046805396,False,blockwise_changing_common_factor_mixture,,,
confirmatory,10000,mixture_without_relational_mechanism,largest_covariance_eigenvalue,2.150232892402164,False,blockwise_changing_common_factor_mixture,,,
confirmatory,10000,mixture_without_relational_mechanism,pca_rank1_explained_variance,0.17918607436684708,False,blockwise_changing_common_factor_mixture,,,
confirmatory,10000,mixture_without_relational_mechanism,spectral_coherence,0.18032409148524192,False,blockwise_changing_common_factor_mixture,,,
confirmatory,10000,mixture_without_relational_mechanism,autocorrelation_persistence,0.19070857984565714,False,blockwise_changing_common_factor_mixture,,,
confirmatory,10000,mixture_without_relational_mechanism,linear_CKA,0.10198839823409184,False,blockwise_changing_common_factor_mixture,,,
confirmatory,10000,mixture_without_relational_mechanism,VAR_ARX_predictive,0.050901193878715556,False,blockwise_changing_common_factor_mixture,,,
confirmatory,10001,independent_noise,correlon_v1,0.06396203632730034,False,independent_noise,0.03077549883092523,0.1329350374988509,0.011879826390187864
confirmatory,10001,independent_noise,pearson,0.06006976776776852,False,independent_noise,,,
confirmatory,10001,independent_noise,mutual_information,0.00953804661687696,False,independent_noise,,,
confirmatory,10001,independent_noise,largest_covariance_eigenvalue,1.4993645258204304,False,independent_noise,,,
confirmatory,10001,independent_noise,pca_rank1_explained_variance,0.12494704381836923,False,independent_noise,,,
confirmatory,10001,independent_noise,spectral_coherence,0.150627900122356,False,independent_noise,,,
confirmatory,10001,independent_noise,autocorrelation_persistence,0.7005969545827616,False,independent_noise,,,
confirmatory,10001,independent_noise,linear_CKA,0.021191200977718424,False,independent_noise,,,
confirmatory,10001,independent_noise,VAR_ARX_predictive,0.032004852707950504,False,independent_noise,,,
confirmatory,10001,common_driver,correlon_v1,0.4460834372114548,False,latent_AR1_common_driver,0.21984804751703751,0.9051271330438576,0.6139547442821612
confirmatory,10001,common_driver,pearson,0.3376982288200621,False,latent_AR1_common_driver,,,
confirmatory,10001,common_driver,mutual_information,0.11332825686823211,False,latent_AR1_common_driver,,,
confirmatory,10001,common_driver,largest_covariance_eigenvalue,4.443495897679595,False,latent_AR1_common_driver,,,
confirmatory,10001,common_driver,pca_rank1_explained_variance,0.370291324806633,False,latent_AR1_common_driver,,,
confirmatory,10001,common_driver,spectral_coherence,0.22476396233491472,False,latent_AR1_common_driver,,,
confirmatory,10001,common_driver,autocorrelation_persistence,0.6932429609746596,False,latent_AR1_common_driver,,,
confirmatory,10001,common_driver,linear_CKA,0.46159703146412984,False,latent_AR1_common_driver,,,
confirmatory,10001,common_driver,VAR_ARX_predictive,0.04062370429372958,False,latent_AR1_common_driver,,,
confirmatory,10001,matched_low_rank,correlon_v1,0.5959826211481695,False,iid_rank1_common_factor,0.4041491054604392,0.8788718814705168,0.6316605861808133
confirmatory,10001,matched_low_rank,pearson,0.3211262851413377,False,iid_rank1_common_factor,,,
confirmatory,10001,matched_low_rank,mutual_information,0.0865084331307312,False,iid_rank1_common_factor,,,
confirmatory,10001,matched_low_rank,largest_covariance_eigenvalue,4.355756982513033,False,iid_rank1_common_factor,,,
confirmatory,10001,matched_low_rank,pca_rank1_explained_variance,0.3629797485427529,False,iid_rank1_common_factor,,,
confirmatory,10001,matched_low_rank,spectral_coherence,0.6320463642495594,False,iid_rank1_common_factor,,,
confirmatory,10001,matched_low_rank,autocorrelation_persistence,0.029264018426571888,False,iid_rank1_common_factor,,,
confirmatory,10001,matched_low_rank,linear_CKA,0.4230525073079364,False,iid_rank1_common_factor,,,
confirmatory,10001,matched_low_rank,VAR_ARX_predictive,0.02872209022254163,False,iid_rank1_common_factor,,,
confirmatory,10001,matched_spectrum,correlon_v1,0.0,False,independent_phase_randomized_target_spectra,-0.019405846851570027,-0.07555154494935366,-0.05557585208333096
confirmatory,10001,matched_spectrum,pearson,0.05876381568838577,False,independent_phase_randomized_target_spectra,,,
confirmatory,10001,matched_spectrum,mutual_information,0.010154369294940513,False,independent_phase_randomized_target_spectra,,,
confirmatory,10001,matched_spectrum,largest_covariance_eigenvalue,1.3795611038761648,False,independent_phase_randomized_target_spectra,,,
confirmatory,10001,matched_spectrum,pca_rank1_explained_variance,0.11496342532301372,False,independent_phase_randomized_target_spectra,,,
confirmatory,10001,matched_spectrum,spectral_coherence,0.15263842323677324,False,independent_phase_randomized_target_spectra,,,
confirmatory,10001,matched_spectrum,autocorrelation_persistence,0.6146652272815321,False,independent_phase_randomized_target_spectra,,,
confirmatory,10001,matched_spectrum,linear_CKA,0.020405964180102026,False,independent_phase_randomized_target_spectra,,,
confirmatory,10001,matched_spectrum,VAR_ARX_predictive,0.030427570212185173,False,independent_phase_randomized_target_spectra,,,
confirmatory,10001,matched_autocorrelation,correlon_v1,0.0,False,separate_VAR1_autocorrelation_match,0.002938081472216761,-0.042022013439103306,-0.04401432569108321
confirmatory,10001,matched_autocorrelation,pearson,0.058766475226309296,False,separate_VAR1_autocorrelation_match,,,
confirmatory,10001,matched_autocorrelation,mutual_information,0.011609908783519862,False,separate_VAR1_autocorrelation_match,,,
confirmatory,10001,matched_autocorrelation,largest_covariance_eigenvalue,1.5320441472027455,False,separate_VAR1_autocorrelation_match,,,
confirmatory,10001,matched_autocorrelation,pca_rank1_explained_variance,0.1276703456002288,False,separate_VAR1_autocorrelation_match,,,
confirmatory,10001,matched_autocorrelation,spectral_coherence,0.10597288356157228,False,separate_VAR1_autocorrelation_match,,,
confirmatory,10001,matched_autocorrelation,autocorrelation_persistence,0.6299332814183739,False,separate_VAR1_autocorrelation_match,,,
confirmatory,10001,matched_autocorrelation,linear_CKA,0.019640140600792163,False,separate_VAR1_autocorrelation_match,,,
confirmatory,10001,matched_autocorrelation,VAR_ARX_predictive,0.029442596299140478,False,separate_VAR1_autocorrelation_match,,,
confirmatory,10001,switching_mode,correlon_v1,0.0,False,switching_direct_edge,-0.0062289431057576256,0.041015552954814904,0.006489818481959231
confirmatory,10001,switching_mode,pearson,0.08017156547249986,False,switching_direct_edge,,,
confirmatory,10001,switching_mode,mutual_information,0.018085787217802296,False,switching_direct_edge,,,
confirmatory,10001,switching_mode,largest_covariance_eigenvalue,1.3984937280576055,False,switching_direct_edge,,,
confirmatory,10001,switching_mode,pca_rank1_explained_variance,0.11654114400480049,False,switching_direct_edge,,,
confirmatory,10001,switching_mode,spectral_coherence,0.15759092062890842,False,switching_direct_edge,,,
confirmatory,10001,switching_mode,autocorrelation_persistence,0.6183857441677102,False,switching_direct_edge,,,
confirmatory,10001,switching_mode,linear_CKA,0.03796624026885628,False,switching_direct_edge,,,
confirmatory,10001,switching_mode,VAR_ARX_predictive,0.04515498054994549,False,switching_direct_edge,,,
confirmatory,10001,transient_mode,correlon_v1,0.0,False,transient_direct_edge,0.030490265404732556,-0.025024146943511072,0.02118009466082027
confirmatory,10001,transient_mode,pearson,0.054342000260078724,False,transient_direct_edge,,,
confirmatory,10001,transient_mode,mutual_information,0.009473440443938386,False,transient_direct_edge,,,
confirmatory,10001,transient_mode,largest_covariance_eigenvalue,1.2951064513483248,False,transient_direct_edge,,,
confirmatory,10001,transient_mode,pca_rank1_explained_variance,0.10792553761236043,False,transient_direct_edge,,,
confirmatory,10001,transient_mode,spectral_coherence,0.12138157915822019,False,transient_direct_edge,,,
confirmatory,10001,transient_mode,autocorrelation_persistence,0.5976083823514569,False,transient_direct_edge,,,
confirmatory,10001,transient_mode,linear_CKA,0.01750930605325785,False,transient_direct_edge,,,
confirmatory,10001,transient_mode,VAR_ARX_predictive,0.036402256148933,False,transient_direct_edge,,,
confirmatory,10001,nonstationary_drift,correlon_v1,0.0,False,shared_deterministic_nonstationary_drift,-0.02155875552579567,-0.15056895364521722,0.027596167323713894
confirmatory,10001,nonstationary_drift,pearson,0.23663363795291883,False,shared_deterministic_nonstationary_drift,,,
confirmatory,10001,nonstationary_drift,mutual_information,0.060333681567674824,False,shared_deterministic_nonstationary_drift,,,
confirmatory,10001,nonstationary_drift,largest_covariance_eigenvalue,3.4702998174268176,False,shared_deterministic_nonstationary_drift,,,
confirmatory,10001,nonstationary_drift,pca_rank1_explained_variance,0.28919165145223463,False,shared_deterministic_nonstationary_drift,,,
confirmatory,10001,nonstationary_drift,spectral_coherence,0.13583050262480656,False,shared_deterministic_nonstationary_drift,,,
confirmatory,10001,nonstationary_drift,autocorrelation_persistence,0.2548316164180266,False,shared_deterministic_nonstationary_drift,,,
confirmatory,10001,nonstationary_drift,linear_CKA,0.26775711920576833,False,shared_deterministic_nonstationary_drift,,,
confirmatory,10001,nonstationary_drift,VAR_ARX_predictive,0.043700024914182345,False,shared_deterministic_nonstationary_drift,,,
confirmatory,10001,finite_sample_spurious,correlon_v1,0.0,False,max_of_eight_independent_AR097_candidates,0.04748797344433614,-0.005159673676276122,0.15528715372101926
confirmatory,10001,finite_sample_spurious,pearson,0.20861705752395696,False,max_of_eight_independent_AR097_candidates,,,
confirmatory,10001,finite_sample_spurious,mutual_information,0.14149764293479494,False,max_of_eight_independent_AR097_candidates,,,
confirmatory,10001,finite_sample_spurious,largest_covariance_eigenvalue,2.5286998617365177,False,max_of_eight_independent_AR097_candidates,,,
confirmatory,10001,finite_sample_spurious,pca_rank1_explained_variance,0.21072498847804325,False,max_of_eight_independent_AR097_candidates,,,
confirmatory,10001,finite_sample_spurious,spectral_coherence,0.12552739378606995,False,max_of_eight_independent_AR097_candidates,,,
confirmatory,10001,finite_sample_spurious,autocorrelation_persistence,0.9677107351523819,False,max_of_eight_independent_AR097_candidates,,,
confirmatory,10001,finite_sample_spurious,linear_CKA,0.18785019541703374,False,max_of_eight_independent_AR097_candidates,,,
confirmatory,10001,finite_sample_spurious,VAR_ARX_predictive,0.04140676527112641,False,max_of_eight_independent_AR097_candidates,,,
confirmatory,10001,mixture_without_relational_mechanism,correlon_v1,0.4075086731191641,False,blockwise_changing_common_factor_mixture,0.26019474225761957,0.6382270342070246,0.3719216163999971
confirmatory,10001,mixture_without_relational_mechanism,pearson,0.11576879692627555,False,blockwise_changing_common_factor_mixture,,,
confirmatory,10001,mixture_without_relational_mechanism,mutual_information,0.030708754929184345,False,blockwise_changing_common_factor_mixture,,,
confirmatory,10001,mixture_without_relational_mechanism,largest_covariance_eigenvalue,1.9082183045529977,False,blockwise_changing_common_factor_mixture,,,
confirmatory,10001,mixture_without_relational_mechanism,pca_rank1_explained_variance,0.15901819204608306,False,blockwise_changing_common_factor_mixture,,,
confirmatory,10001,mixture_without_relational_mechanism,spectral_coherence,0.15537975371036356,False,blockwise_changing_common_factor_mixture,,,
confirmatory,10001,mixture_without_relational_mechanism,autocorrelation_persistence,0.17719343788683697,False,blockwise_changing_common_factor_mixture,,,
confirmatory,10001,mixture_without_relational_mechanism,linear_CKA,0.0744954898962434,False,blockwise_changing_common_factor_mixture,,,
confirmatory,10001,mixture_without_relational_mechanism,VAR_ARX_predictive,0.044067758999114415,False,blockwise_changing_common_factor_mixture,,,
confirmatory,10002,independent_noise,correlon_v1,0.03462102539586275,False,independent_noise,0.011455838487331435,0.1046292159920442,-0.05788541791336066
confirmatory,10002,independent_noise,pearson,0.07367508297182294,False,independent_noise,,,
confirmatory,10002,independent_noise,mutual_information,0.01675412511610097,False,independent_noise,,,
confirmatory,10002,independent_noise,largest_covariance_eigenvalue,1.3829787875137745,False,independent_noise,,,
confirmatory,10002,independent_noise,pca_rank1_explained_variance,0.11524823229281451,False,independent_noise,,,
confirmatory,10002,independent_noise,spectral_coherence,0.17194989409004408,False,independent_noise,,,
confirmatory,10002,independent_noise,autocorrelation_persistence,0.6983560822251693,False,independent_noise,,,
confirmatory,10002,independent_noise,linear_CKA,0.0319667009475497,False,independent_noise,,,
confirmatory,10002,independent_noise,VAR_ARX_predictive,0.03317651243224218,False,independent_noise,,,
confirmatory,10002,common_driver,correlon_v1,0.524860843240553,False,latent_AR1_common_driver,0.3126421250804589,0.8811317563053586,0.6184370417656884
confirmatory,10002,common_driver,pearson,0.3429476170725255,False,latent_AR1_common_driver,,,
