stage,seed,target_class,metric,base_score,P,D,Delta,weakest_preserve_transform,strongest_destroy_transform,T_iso,T_floor,T_pers
pilot,2,direct_coupling_SCM,autocorrelation_persistence,0.6275455201077521,0.8093009444056516,1.0,-0.1906990555943484,P7_coarse_graining,D5_source_swap,,,
pilot,2,direct_coupling_SCM,linear_CKA,0.029974295981582997,0.5506543198830075,0.9787680865515326,-0.4281137666685251,P2_global_scaling,D2_phase_randomization,,,
pilot,2,direct_coupling_SCM,VAR_ARX_predictive,0.06067973442816632,0.9160755519504336,0.6130701118586203,0.3030054400918133,P2_global_scaling,D3_IAAFT_surrogate,,,
pilot,2,history_dependent_relational_mode,correlon_v1,0.0,0.0,1.0,-1.0,P1_node_permutation,D1_temporal_shuffle,0.02983124226629677,-0.023929694518220412,0.05796218850732754
pilot,2,history_dependent_relational_mode,pearson,0.06500301179126873,0.9900610684005422,1.0,-0.009938931599457801,P5_observation_noise,D2_phase_randomization,,,
pilot,2,history_dependent_relational_mode,mutual_information,0.011848198834156887,0.9868537453858675,1.0,-0.013146254614132546,P5_observation_noise,D2_phase_randomization,,,
pilot,2,history_dependent_relational_mode,largest_covariance_eigenvalue,1.5131094306988928,0.863639119015207,1.0,-0.13636088098479304,P7_coarse_graining,D7_history_destruction,,,
pilot,2,history_dependent_relational_mode,pca_rank1_explained_variance,0.12609245255824106,0.9915888318563343,1.0,-0.008411168143665715,P5_observation_noise,D7_history_destruction,,,
pilot,2,history_dependent_relational_mode,spectral_coherence,0.1345126333304752,0.9838067840137011,1.0,-0.01619321598629886,P2_global_scaling,D2_phase_randomization,,,
pilot,2,history_dependent_relational_mode,autocorrelation_persistence,0.6224755298468313,0.8280240207808521,1.0,-0.17197597921914787,P7_coarse_graining,D7_history_destruction,,,
pilot,2,history_dependent_relational_mode,linear_CKA,0.024695429363694354,0.591061834097532,1.0,-0.408938165902468,P2_global_scaling,D2_phase_randomization,,,
pilot,2,history_dependent_relational_mode,VAR_ARX_predictive,0.0365788971445794,0.9645511664336528,0.9457825051385952,0.01876866129505761,P2_global_scaling,D4_edge_cutting,,,
pilot,3,persistent_shared_mode,correlon_v1,0.2713207714372718,0.960565364351898,1.0,-0.03943463564810201,P5_observation_noise,D6_common_driver_replacement,0.13485015864822125,0.5459019236703531,0.4664429531641393
pilot,3,persistent_shared_mode,pearson,0.1739673288383311,0.8288061000052352,0.6994897981228734,0.12931630188236187,P4_orthogonal_basis_rotation,D6_common_driver_replacement,,,
pilot,3,persistent_shared_mode,mutual_information,0.05181941342004848,0.9725225917484493,0.4018795587371807,0.5706430330112686,P5_observation_noise,D6_common_driver_replacement,,,
pilot,3,persistent_shared_mode,largest_covariance_eigenvalue,2.5896102011826367,0.9580196413468282,0.8980069202776098,0.0600127210692184,P7_coarse_graining,D6_common_driver_replacement,,,
pilot,3,persistent_shared_mode,pca_rank1_explained_variance,0.21580085009855304,0.9855812802966362,0.8980069202776099,0.0875743600190263,P5_observation_noise,D6_common_driver_replacement,,,
