seed,family,family_parameter,history_length,p_required_exact,p_star,lag_grid_exhausted,selected_lag_nmse,d_required,d_star,state_grid_exhausted,state_approximation_nmse,heldout_prediction_NMSE,heldout_intervention_NMSE,predictive_log_likelihood,memory_kernel_reconstruction_error,long_horizon_error,parameter_count_lag,parameter_count_state,stage
30000,L5_long_memory_nonlinear,0.0,128,109,128,False,0.0,11,16,False,0.01,0.0011642767690926,0.0011642767690926,3.3778275919010543,0.0,0.1859740628260252,130,272,development
30000,L5_long_memory_nonlinear,0.0,256,215,256,False,0.0,15,16,False,0.01,0.0016951102295455,0.0016951102295455,3.190003754041971,0.0,0.1725389821096064,258,272,development
30000,L5_long_memory_nonlinear,0.0,512,423,256,True,0.1725389821096064,21,32,False,0.01,0.1739871763483803,0.1946918542015331,0.8743868408153816,0.415378119440115,0.3064699392471942,258,1056,development
30000,L5_long_memory_nonlinear,0.0,1024,834,256,True,0.3064699392471942,29,32,False,0.01,0.3074209060246412,0.3441972987343045,0.5897687205006741,0.5535972717122025,0.4127607525029876,258,1056,development
30000,L6_history_dependent_intervention,0.0,16,15,16,False,0.0,4,4,False,0.01,0.0008178606634957,0.0008178606634957,3.5544092869477386,0.0,0.2868773000314248,18,20,development
30000,L6_history_dependent_intervention,0.0,32,29,32,False,0.0,6,8,False,0.01,0.0011117521654585,0.0011117521654585,3.4009089903913057,0.0,0.2627554926256796,34,72,development
30000,L6_history_dependent_intervention,0.0,64,57,64,False,0.0,8,8,False,0.01,0.0007603263472736,0.0007603263472736,3.5908814062720857,0.0,0.24403054650154,66,72,development
30000,L6_history_dependent_intervention,0.0,128,113,128,False,0.0,11,16,False,0.01,0.0007677943276836,0.0007677943276836,3.5859943315886578,0.0,0.2296238239142252,130,272,development
30000,L6_history_dependent_intervention,0.0,256,223,256,False,0.0,15,16,False,0.01,0.0007489797951426,0.0007489797951426,3.5983992752942164,0.0,0.2185321252722961,258,272,development
30000,L6_history_dependent_intervention,0.0,512,442,256,True,0.2185321252722961,22,32,False,0.01,0.2185876903392974,0.2448115453719729,0.7602840080866894,0.4674741974401326,0.3825994638734332,258,1056,development
30000,L6_history_dependent_intervention,0.0,1024,879,256,True,0.3825994638734332,30,32,False,0.01,0.3831749628035327,0.4290868984683447,0.4796317860857643,0.6185462503915395,0.5080900718187826,258,1056,development
30001,M1_AR_finite,0.0,16,3,4,False,0.0,3,4,False,0.01,0.0006567358797202,0.0006567358797202,3.664114314932714,0.0,0.0,6,20,development
30001,M1_AR_finite,0.0,32,3,4,False,0.0,3,4,False,0.01,0.0008931017027495,0.0008931017027495,3.5104050473576818,0.0,0.0,6,20,development
30001,M1_AR_finite,0.0,64,3,4,False,0.0,3,4,False,0.01,0.0001416735186746,0.0001416735186746,4.430992655881172,0.0,0.0,6,20,development
