stage,seed,dimension,true_rank,strength,rank,method,train_samples,heldout_samples,field_evaluation_samples,cca_identity_diff,scale,generator_error,vector_field_cosine,orbit_shape_error,frequency_error,stability_max_real_eigenvalue
development,0,4,1,1.0,2,random_rank_matched,2000,1000,64,0.0,0.9833910247457441,0.22978812874526378,0.9756683361347389,0.11029883015077975,0.052113902206527445,3.3306690738754696e-16
development,0,4,1,1.0,2,raw_svd,2000,1000,64,0.0,1.0187118114673481,0.045223456388241,0.9989784934050083,0.02259985171402291,0.015275974742062992,2.7755575615628914e-16
development,0,4,1,1.0,2,full_state_oracle,2000,1000,64,0.0,1.0,0.0,1.0,0.0,0.0,2.220446049250313e-16
development,0,4,1,1.0,4,correlon,2000,1000,64,0.0,1.0180869349776918,0.0473436235865469,0.9989002635913726,0.02344926873729103,0.013769010295736118,3.3306690738754696e-16
development,0,4,1,1.0,4,cca_equivalent,2000,1000,64,0.0,1.0180869349776918,0.0473436235865469,0.9989002635913726,0.02344926873729103,0.013769010295736118,3.3306690738754696e-16
development,0,4,1,1.0,4,block_diagonal,2000,1000,64,0.0,1.0354766353355573,0.12640265385976887,0.9924268382689978,0.06153520021500782,0.015422228877879415,1.1102230246251565e-16
development,0,4,1,1.0,4,pca_rank_matched,2000,1000,64,0.0,1.0180869558314154,0.047343623923814686,0.9989002635763611,0.02344926889733222,0.01376900889166656,3.3306690738754696e-16
development,0,4,1,1.0,4,random_rank_matched,2000,1000,64,0.0,1.0065127296624532,0.1296177626552334,0.993032185532905,0.059024632430431274,0.018846442807670664,2.220446049250313e-16
development,0,4,1,1.0,4,raw_svd,2000,1000,64,0.0,1.0180869349776895,0.04734362358654683,0.9989002635913726,0.02344926873729086,0.013769010295736045,3.191891195797325e-16
development,0,4,1,1.0,4,full_state_oracle,2000,1000,64,0.0,1.0,0.0,1.0,0.0,0.0,2.220446049250313e-16
development,0,4,2,0.1,1,correlon,2000,1000,64,0.0,1.0099225770215743,0.06108898852454348,0.9986225720584943,0.026243360508000323,0.0050073731794472425,1.942890293094024e-16
development,0,4,2,0.1,1,cca_equivalent,2000,1000,64,0.0,1.0099225770215743,0.06108898852454348,0.9986225720584943,0.026243360508000323,0.0050073731794472425,1.942890293094024e-16
development,0,4,2,0.1,1,block_diagonal,2000,1000,64,0.0,1.0133606627989031,0.045506580103453646,0.9991420885979214,0.02071124576261213,0.0054529027021539625,7.592484436595361e-17
development,0,4,2,0.1,1,pca_rank_matched,2000,1000,64,0.0,1.0690126544188217,0.19365659945722635,0.9827431365072095,0.092889352169101,0.16869576041654039,2.220446049250313e-16
development,0,4,2,0.1,1,random_rank_matched,2000,1000,64,0.0,1.010405672045963,0.05581840191165078,0.9987480770841441,0.025019221769030396,0.008974127864640885,1.8041124150158794e-16
development,0,4,2,0.1,1,raw_svd,2000,1000,64,0.0,1.0098360164370208,0.06159210591148304,0.998592677371432,0.026526615205940213,0.005110512807347333,2.220446049250313e-16
development,0,4,2,0.1,1,full_state_oracle,2000,1000,64,0.0,1.0,0.0,1.0,0.0,0.0,2.220446049250313e-16
development,0,4,2,0.1,2,correlon,2000,1000,64,0.0,1.0090678748788697,0.06341423814250653,0.9984315633547467,0.028003898346955398,0.0061539942835778265,2.220446049250313e-16
development,0,4,2,0.1,2,cca_equivalent,2000,1000,64,0.0,1.0090678748788697,0.06341423814250653,0.9984315633547467,0.028003898346955398,0.0061539942835778265,2.220446049250313e-16
development,0,4,2,0.1,2,block_diagonal,2000,1000,64,0.0,1.0133606627989031,0.045506580103453646,0.9991420885979214,0.02071124576261213,0.0054529027021539625,7.592484436595361e-17
development,0,4,2,0.1,2,pca_rank_matched,2000,1000,64,0.0,1.1155675283174864,0.22008428400113056,0.9748122283784708,0.11222248353500561,0.1356841927767805,8.326672684688674e-17
development,0,4,2,0.1,2,random_rank_matched,2000,1000,64,0.0,1.0093049564517937,0.06546544757425399,0.998238775110045,0.029675114910940215,0.009550796742833689,1.6653345369377348e-16
development,0,4,2,0.1,2,raw_svd,2000,1000,64,0.0,1.0093998722258999,0.062237647399167303,0.998498781392424,0.027397249931114094,0.007725883191772486,2.7755575615628914e-16
development,0,4,2,0.1,2,full_state_oracle,2000,1000,64,0.0,1.0,0.0,1.0,0.0,0.0,2.220446049250313e-16
development,0,4,2,0.1,4,correlon,2000,1000,64,0.0,1.0085407557300141,0.0654503791511359,0.9982922323541127,0.029221290576284382,0.006870249443223201,4.440892098500626e-16
development,0,4,2,0.1,4,cca_equivalent,2000,1000,64,0.0,1.0085407557300141,0.0654503791511359,0.9982922323541127,0.029221290576284382,0.006870249443223201,4.440892098500626e-16
development,0,4,2,0.1,4,block_diagonal,2000,1000,64,0.0,1.0133606627989031,0.045506580103453646,0.9991420885979214,0.02071124576261213,0.0054529027021539625,7.592484436595361e-17
development,0,4,2,0.1,4,pca_rank_matched,2000,1000,64,0.0,1.0085407761932115,0.06545037895183871,0.9982922323534945,0.02922129058157321,0.006870247261097674,2.220446049250313e-16
development,0,4,2,0.1,4,random_rank_matched,2000,1000,64,0.0,1.0080124556410848,0.06915859174189448,0.9981902297617056,0.030081308468005007,0.0038221780038607805,2.220446049250313e-16
development,0,4,2,0.1,4,raw_svd,2000,1000,64,0.0,1.0085407557300134,0.06545037915113586,0.9982922323541127,0.02922129057628434,0.006870249443222776,3.885780586188048e-16
development,0,4,2,0.1,4,full_state_oracle,2000,1000,64,0.0,1.0,0.0,1.0,0.0,0.0,2.220446049250313e-16
development,0,4,2,0.25,1,correlon,2000,1000,64,0.0,0.9832609285176991,0.06492068484919657,0.9983983135931775,0.028299173193067757,0.01105191381063602,3.3306690738754696e-16
development,0,4,2,0.25,1,cca_equivalent,2000,1000,64,0.0,0.9832609285176991,0.06492068484919657,0.9983983135931775,0.028299173193067757,0.01105191381063602,3.3306690738754696e-16
development,0,4,2,0.25,1,block_diagonal,2000,1000,64,0.0,0.9882778891482541,0.06020615573222051,0.9985445925733909,0.026975984009939957,0.009514739805268698,3.311927930529099e-17
development,0,4,2,0.25,1,pca_rank_matched,2000,1000,64,0.0,1.0460827882057389,0.19924052082869986,0.980485500059119,0.09877879312099591,0.1065739111768538,2.7755575615628914e-16
development,0,4,2,0.25,1,random_rank_matched,2000,1000,64,0.0,0.9841750821597136,0.07307637643228583,0.9977645661243902,0.033432273895218564,0.01307935294424677,2.498001805406602e-16
development,0,4,2,0.25,1,raw_svd,2000,1000,64,0.0,0.9835713035098334,0.06341078739842386,0.9984474703197707,0.02786152975187657,0.011564763126404448,3.608224830031759e-16
development,0,4,2,0.25,1,full_state_oracle,2000,1000,64,0.0,1.0,0.0,1.0,0.0,0.0,2.220446049250313e-16
development,0,4,2,0.25,2,correlon,2000,1000,64,0.0,0.9807916867819275,0.06443407884088051,0.9982974430993711,0.029176676478215605,0.01187349454336608,3.885780586188048e-16
